mDot tR H2 O2 N2 H2O H O OH HO2 H2O2 N NO NO2 T
2.5142e-05 3.3355e-01 1.2777e-03 6.5318e-03 7.4377e-01 2.4018e-01 7.7223e-05 3.7336e-04 4.8853e-03 1.5299e-06 1.8022e-07 4.1087e-08 2.9030e-03 6.6547e-07 2.3771e+03
2.5433e-05 3.2973e-01 1.2779e-03 6.5344e-03 7.4377e-01 2.4018e-01 7.7263e-05 3.7358e-04 4.8866e-03 1.5304e-06 1.8034e-07 4.1074e-08 2.9007e-03 6.6473e-07 2.3771e+03
2.5728e-05 3.2595e-01 1.2782e-03 6.5371e-03 7.4377e-01 2.4017e-01 7.7302e-05 3.7380e-04 4.8879e-03 1.5310e-06 1.8046e-07 4.1061e-08 2.8984e-03 6.6399e-07 2.3770e+03
2.6026e-05 3.2222e-01 1.2784e-03 6.5398e-03 7.4377e-01 2.4017e-01 7.7343e-05 3.7402e-04 4.8893e-03 1.5315e-06 1.8058e-07 4.1048e-08 2.8961e-03 6.6324e-07 2.3770e+03
2.6328e-05 3.1853e-01 1.2787e-03 6.5426e-03 7.4377e-01 2.4017e-01 7.7383e-05 3.7425e-04 4.8906e-03 1.5321e-06 1.8070e-07 4.1035e-08 2.8937e-03 6.6248e-07 2.3770e+03
2.6633e-05 3.1489e-01 1.2789e-03 6.5453e-03 7.4377e-01 2.4016e-01 7.7424e-05 3.7448e-04 4.8920e-03 1.5327e-06 1.8083e-07 4.1021e-08 2.8913e-03 6.6172e-07 2.3769e+03
2.6942e-05 3.1128e-01 1.2792e-03 6.5481e-03 7.4377e-01 2.4016e-01 7.7466e-05 3.7471e-04 4.8933e-03 1.5333e-06 1.8096e-07 4.1008e-08 2.8889e-03 6.6095e-07 2.3769e+03
2.7254e-05 3.0772e-01 1.2795e-03 6.5509e-03 7.4378e-01 2.4016e-01 7.7508e-05 3.7495e-04 4.8947e-03 1.5339e-06 1.8108e-07 4.0994e-08 2.8865e-03 6.6017e-07 2.3769e+03
2.7570e-05 3.0420e-01 1.2797e-03 6.5538e-03 7.4378e-01 2.4015e-01 7.7550e-05 3.7519e-04 4.8961e-03 1.5345e-06 1.8121e-07 4.0980e-08 2.8840e-03 6.5938e-07 2.3768e+03
2.7890e-05 3.0071e-01 1.2800e-03 6.5567e-03 7.4378e-01 2.4015e-01 7.7593e-05 3.7543e-04 4.8975e-03 1.5351e-06 1.8134e-07 4.0966e-08 2.8816e-03 6.5859e-07 2.3768e+03
2.8213e-05 2.9727e-01 1.2803e-03 6.5596e-03 7.4378e-01 2.4015e-01 7.7637e-05 3.7567e-04 4.8989e-03 1.5357e-06 1.8148e-07 4.0952e-08 2.8791e-03 6.5779e-07 2.3768e+03
2.8540e-05 2.9387e-01 1.2805e-03 6.5625e-03 7.4378e-01 2.4014e-01 7.7681e-05 3.7592e-04 4.9004e-03 1.5363e-06 1.8161e-07 4.0937e-08 2.8766e-03 6.5698e-07 2.3767e+03
2.8871e-05 2.9050e-01 1.2808e-03 6.5655e-03 7.4378e-01 2.4014e-01 7.7725e-05 3.7617e-04 4.9018e-03 1.5369e-06 1.8175e-07 4.0923e-08 2.8740e-03 6.5616e-07 2.3767e+03
2.9206e-05 2.8718e-01 1.2811e-03 6.5685e-03 7.4378e-01 2.4014e-01 7.7770e-05 3.7642e-04 4.9033e-03 1.5375e-06 1.8188e-07 4.0908e-08 2.8714e-03 6.5534e-07 2.3767e+03
2.9544e-05 2.8389e-01 1.2814e-03 6.5716e-03 7.4378e-01 2.4013e-01 7.7815e-05 3.7667e-04 4.9048e-03 1.5382e-06 1.8202e-07 4.0893e-08 2.8688e-03 6.5450e-07 2.3766e+03
2.9887e-05 2.8064e-01 1.2817e-03 6.5746e-03 7.4379e-01 2.4013e-01 7.7861e-05 3.7693e-04 4.9063e-03 1.5388e-06 1.8216e-07 4.0878e-08 2.8662e-03 6.5366e-07 2.3766e+03
3.0233e-05 2.7743e-01 1.2820e-03 6.5777e-03 7.4379e-01 2.4012e-01 7.7908e-05 3.7719e-04 4.9078e-03 1.5395e-06 1.8230e-07 4.0863e-08 2.8636e-03 6.5282e-07 2.3766e+03
3.0583e-05 2.7425e-01 1.2822e-03 6.5809e-03 7.4379e-01 2.4012e-01 7.7955e-05 3.7745e-04 4.9093e-03 1.5401e-06 1.8244e-07 4.0848e-08 2.8609e-03 6.5196e-07 2.3765e+03
3.0938e-05 2.7111e-01 1.2825e-03 6.5841e-03 7.4379e-01 2.4012e-01 7.8002e-05 3.7772e-04 4.9109e-03 1.5408e-06 1.8259e-07 4.0832e-08 2.8582e-03 6.5110e-07 2.3765e+03
3.1296e-05 2.6801e-01 1.2828e-03 6.5873e-03 7.4379e-01 2.4011e-01 7.8050e-05 3.7799e-04 4.9124e-03 1.5414e-06 1.8274e-07 4.0817e-08 2.8555e-03 6.5022e-07 2.3764e+03
3.1659e-05 2.6494e-01 1.2831e-03 6.5905e-03 7.4379e-01 2.4011e-01 7.8099e-05 3.7826e-04 4.9140e-03 1.5421e-06 1.8288e-07 4.0801e-08 2.8527e-03 6.4934e-07 2.3764e+03
3.2026e-05 2.6191e-01 1.2835e-03 6.5938e-03 7.4379e-01 2.4011e-01 7.8148e-05 3.7853e-04 4.9156e-03 1.5428e-06 1.8303e-07 4.0785e-08 2.8499e-03 6.4846e-07 2.3764e+03
3.2397e-05 2.5891e-01 1.2838e-03 6.5971e-03 7.4379e-01 2.4010e-01 7.8197e-05 3.7881e-04 4.9172e-03 1.5435e-06 1.8318e-07 4.0769e-08 2.8471e-03 6.4756e-07 2.3763e+03
3.2773e-05 2.5595e-01 1.2841e-03 6.6004e-03 7.4380e-01 2.4010e-01 7.8247e-05 3.7909e-04 4.9189e-03 1.5442e-06 1.8334e-07 4.0753e-08 2.8443e-03 6.4665e-07 2.3763e+03
3.3153e-05 2.5302e-01 1.2844e-03 6.6038e-03 7.4380e-01 2.4009e-01 7.8298e-05 3.7937e-04 4.9205e-03 1.5449e-06 1.8349e-07 4.0736e-08 2.8415e-03 6.4574e-07 2.3763e+03
3.3537e-05 2.5012e-01 1.2847e-03 6.6072e-03 7.4380e-01 2.4009e-01 7.8349e-05 3.7966e-04 4.9222e-03 1.5456e-06 1.8365e-07 4.0719e-08 2.8386e-03 6.4482e-07 2.3762e+03
3.3926e-05 2.4726e-01 1.2850e-03 6.6107e-03 7.4380e-01 2.4008e-01 7.8401e-05 3.7995e-04 4.9239e-03 1.5463e-06 1.8381e-07 4.0703e-08 2.8357e-03 6.4389e-07 2.3762e+03
3.4319e-05 2.4443e-01 1.2854e-03 6.6141e-03 7.4380e-01 2.4008e-01 7.8454e-05 3.8024e-04 4.9256e-03 1.5470e-06 1.8397e-07 4.0686e-08 2.8327e-03 6.4295e-07 2.3761e+03
3.4717e-05 2.4163e-01 1.2857e-03 6.6177e-03 7.4380e-01 2.4008e-01 7.8507e-05 3.8054e-04 4.9273e-03 1.5478e-06 1.8413e-07 4.0668e-08 2.8298e-03 6.4200e-07 2.3761e+03
3.5119e-05 2.3887e-01 1.2860e-03 6.6212e-03 7.4380e-01 2.4007e-01 7.8560e-05 3.8084e-04 4.9290e-03 1.5485e-06 1.8429e-07 4.0651e-08 2.8268e-03 6.4105e-07 2.3760e+03
3.5526e-05 2.3614e-01 1.2864e-03 6.6248e-03 7.4381e-01 2.4007e-01 7.8615e-05 3.8114e-04 4.9308e-03 1.5493e-06 1.8446e-07 4.0633e-08 2.8237e-03 6.4008e-07 2.3760e+03
3.5938e-05 2.3343e-01 1.2867e-03 6.6284e-03 7.4381e-01 2.4006e-01 7.8669e-05 3.8145e-04 4.9326e-03 1.5500e-06 1.8462e-07 4.0616e-08 2.8207e-03 6.3911e-07 2.3760e+03
3.6355e-05 2.3076e-01 1.2871e-03 6.6321e-03 7.4381e-01 2.4006e-01 7.8725e-05 3.8176e-04 4.9344e-03 1.5508e-06 1.8479e-07 4.0598e-08 2.8176e-03 6.3813e-07 2.3759e+03
3.6776e-05 2.2812e-01 1.2874e-03 6.6358e-03 7.4381e-01 2.4005e-01 7.8781e-05 3.8207e-04 4.9362e-03 1.5516e-06 1.8496e-07 4.0580e-08 2.8145e-03 6.3714e-07 2.3759e+03
3.7202e-05 2.2551e-01 1.2878e-03 6.6396e-03 7.4381e-01 2.4005e-01 7.8837e-05 3.8239e-04 4.9380e-03 1.5523e-06 1.8514e-07 4.0561e-08 2.8114e-03 6.3614e-07 2.3758e+03
3.7634e-05 2.2293e-01 1.2881e-03 6.6433e-03 7.4381e-01 2.4004e-01 7.8895e-05 3.8271e-04 4.9399e-03 1.5531e-06 1.8531e-07 4.0543e-08 2.8082e-03 6.3513e-07 2.3758e+03
