mDot tR H2 O2 N2 H2O H O OH HO2 H2O2 N NO NO2 T
1.0000e-05 8.3816e-01 1.2648e-03 6.3907e-03 7.4371e-01 2.4035e-01 7.5162e-05 3.6176e-04 4.8165e-03 1.5005e-06 1.7395e-07 4.1772e-08 3.0271e-03 7.0563e-07 2.3787e+03
1.0116e-05 8.2856e-01 1.2649e-03 6.3918e-03 7.4371e-01 2.4035e-01 7.5178e-05 3.6185e-04 4.8170e-03 1.5008e-06 1.7400e-07 4.1767e-08 3.0261e-03 7.0531e-07 2.3787e+03
1.0233e-05 8.1907e-01 1.2650e-03 6.3929e-03 7.4371e-01 2.4035e-01 7.5194e-05 3.6195e-04 4.8175e-03 1.5010e-06 1.7405e-07 4.1761e-08 3.0251e-03 7.0498e-07 2.3787e+03
1.0352e-05 8.0969e-01 1.2651e-03 6.3940e-03 7.4371e-01 2.4035e-01 7.5210e-05 3.6204e-04 4.8181e-03 1.5012e-06 1.7410e-07 4.1756e-08 3.0241e-03 7.0465e-07 2.3787e+03
1.0472e-05 8.0041e-01 1.2652e-03 6.3952e-03 7.4371e-01 2.4035e-01 7.5226e-05 3.6213e-04 4.8186e-03 1.5015e-06 1.7415e-07 4.1750e-08 3.0231e-03 7.0432e-07 2.3787e+03
1.0593e-05 7.9124e-01 1.2653e-03 6.3963e-03 7.4371e-01 2.4034e-01 7.5243e-05 3.6222e-04 4.8192e-03 1.5017e-06 1.7420e-07 4.1745e-08 3.0221e-03 7.0398e-07 2.3786e+03
1.0716e-05 7.8218e-01 1.2654e-03 6.3975e-03 7.4371e-01 2.4034e-01 7.5260e-05 3.6232e-04 4.8198e-03 1.5019e-06 1.7425e-07 4.1739e-08 3.0210e-03 7.0364e-07 2.3786e+03
1.0840e-05 7.7322e-01 1.2655e-03 6.3987e-03 7.4371e-01 2.4034e-01 7.5277e-05 3.6242e-04 4.8204e-03 1.5022e-06 1.7430e-07 4.1733e-08 3.0200e-03 7.0329e-07 2.3786e+03
1.0966e-05 7.6437e-01 1.2656e-03 6.3999e-03 7.4371e-01 2.4034e-01 7.5294e-05 3.6251e-04 4.8209e-03 1.5024e-06 1.7436e-07 4.1727e-08 3.0189e-03 7.0295e-07 2.3786e+03
1.1093e-05 7.5561e-01 1.2657e-03 6.4011e-03 7.4371e-01 2.4034e-01 7.5312e-05 3.6261e-04 4.8215e-03 1.5027e-06 1.7441e-07 4.1722e-08 3.0178e-03 7.0260e-07 2.3786e+03
1.1221e-05 7.4696e-01 1.2658e-03 6.4023e-03 7.4372e-01 2.4034e-01 7.5329e-05 3.6271e-04 4.8221e-03 1.5029e-06 1.7446e-07 4.1716e-08 3.0167e-03 7.0224e-07 2.3786e+03
1.1352e-05 7.3840e-01 1.2659e-03 6.4036e-03 7.4372e-01 2.4034e-01 7.5347e-05 3.6281e-04 4.8227e-03 1.5032e-06 1.7452e-07 4.1710e-08 3.0156e-03 7.0188e-07 2.3786e+03
1.1483e-05 7.2994e-01 1.2660e-03 6.4048e-03 7.4372e-01 2.4033e-01 7.5365e-05 3.6291e-04 4.8233e-03 1.5035e-06 1.7457e-07 4.1704e-08 3.0145e-03 7.0152e-07 2.3785e+03
1.1616e-05 7.2158e-01 1.2662e-03 6.4061e-03 7.4372e-01 2.4033e-01 7.5384e-05 3.6302e-04 4.8240e-03 1.5037e-06 1.7463e-07 4.1698e-08 3.0134e-03 7.0115e-07 2.3785e+03
1.1751e-05 7.1332e-01 1.2663e-03 6.4073e-03 7.4372e-01 2.4033e-01 7.5402e-05 3.6312e-04 4.8246e-03 1.5040e-06 1.7468e-07 4.1691e-08 3.0122e-03 7.0078e-07 2.3785e+03
1.1887e-05 7.0515e-01 1.2664e-03 6.4086e-03 7.4372e-01 2.4033e-01 7.5421e-05 3.6323e-04 4.8252e-03 1.5043e-06 1.7474e-07 4.1685e-08 3.0111e-03 7.0040e-07 2.3785e+03
1.2025e-05 6.9707e-01 1.2665e-03 6.4099e-03 7.4372e-01 2.4033e-01 7.5440e-05 3.6333e-04 4.8259e-03 1.5045e-06 1.7480e-07 4.1679e-08 3.0099e-03 7.0003e-07 2.3785e+03
1.2164e-05 6.8909e-01 1.2666e-03 6.4113e-03 7.4372e-01 2.4033e-01 7.5459e-05 3.6344e-04 4.8265e-03 1.5048e-06 1.7486e-07 4.1672e-08 3.0087e-03 6.9964e-07 2.3785e+03
1.2305e-05 6.8119e-01 1.2667e-03 6.4126e-03 7.4372e-01 2.4033e-01 7.5478e-05 3.6355e-04 4.8271e-03 1.5051e-06 1.7491e-07 4.1666e-08 3.0075e-03 6.9926e-07 2.3785e+03
1.2448e-05 6.7339e-01 1.2669e-03 6.4140e-03 7.4372e-01 2.4032e-01 7.5498e-05 3.6366e-04 4.8278e-03 1.5054e-06 1.7497e-07 4.1659e-08 3.0063e-03 6.9886e-07 2.3784e+03
1.2592e-05 6.6568e-01 1.2670e-03 6.4153e-03 7.4372e-01 2.4032e-01 7.5517e-05 3.6377e-04 4.8285e-03 1.5056e-06 1.7503e-07 4.1653e-08 3.0051e-03 6.9847e-07 2.3784e+03
1.2738e-05 6.5806e-01 1.2671e-03 6.4167e-03 7.4372e-01 2.4032e-01 7.5537e-05 3.6388e-04 4.8291e-03 1.5059e-06 1.7509e-07 4.1646e-08 3.0039e-03 6.9807e-07 2.3784e+03
1.2886e-05 6.5052e-01 1.2672e-03 6.4181e-03 7.4372e-01 2.4032e-01 7.5558e-05 3.6400e-04 4.8298e-03 1.5062e-06 1.7516e-07 4.1639e-08 3.0026e-03 6.9767e-07 2.3784e+03
1.3035e-05 6.4307e-01 1.2674e-03 6.4195e-03 7.4372e-01 2.4032e-01 7.5578e-05 3.6411e-04 4.8305e-03 1.5065e-06 1.7522e-07 4.1632e-08 3.0014e-03 6.9726e-07 2.3784e+03
1.3186e-05 6.3570e-01 1.2675e-03 6.4209e-03 7.4372e-01 2.4032e-01 7.5599e-05 3.6423e-04 4.8312e-03 1.5068e-06 1.7528e-07 4.1626e-08 3.0001e-03 6.9685e-07 2.3784e+03
1.3339e-05 6.2842e-01 1.2676e-03 6.4224e-03 7.4372e-01 2.4031e-01 7.5620e-05 3.6435e-04 4.8319e-03 1.5071e-06 1.7534e-07 4.1619e-08 2.9988e-03 6.9643e-07 2.3783e+03
1.3494e-05 6.2123e-01 1.2678e-03 6.4238e-03 7.4372e-01 2.4031e-01 7.5641e-05 3.6446e-04 4.8326e-03 1.5074e-06 1.7541e-07 4.1611e-08 2.9975e-03 6.9601e-07 2.3783e+03
1.3650e-05 6.1411e-01 1.2679e-03 6.4253e-03 7.4372e-01 2.4031e-01 7.5662e-05 3.6459e-04 4.8334e-03 1.5077e-06 1.7547e-07 4.1604e-08 2.9962e-03 6.9558e-07 2.3783e+03
1.3808e-05 6.0708e-01 1.2680e-03 6.4268e-03 7.4373e-01 2.4031e-01 7.5684e-05 3.6471e-04 4.8341e-03 1.5080e-06 1.7554e-07 4.1597e-08 2.9949e-03 6.9515e-07 2.3783e+03
1.3968e-05 6.0013e-01 1.2682e-03 6.4283e-03 7.4373e-01 2.4031e-01 7.5706e-05 3.6483e-04 4.8348e-03 1.5083e-06 1.7561e-07 4.1590e-08 2.9935e-03 6.9472e-07 2.3783e+03
1.4130e-05 5.9325e-01 1.2683e-03 6.4298e-03 7.4373e-01 2.4030e-01 7.5728e-05 3.6496e-04 4.8356e-03 1.5087e-06 1.7567e-07 4.1582e-08 2.9922e-03 6.9428e-07 2.3783e+03
1.4294e-05 5.8646e-01 1.2685e-03 6.4314e-03 7.4373e-01 2.4030e-01 7.5750e-05 3.6508e-04 4.8363e-03 1.5090e-06 1.7574e-07 4.1575e-08 2.9908e-03 6.9383e-07 2.3782e+03
1.4460e-05 5.7974e-01 1.2686e-03 6.4329e-03 7.4373e-01 2.4030e-01 7.5773e-05 3.6521e-04 4.8371e-03 1.5093e-06 1.7581e-07 4.1567e-08 2.9894e-03 6.9339e-07 2.3782e+03
1.4627e-05 5.7310e-01 1.2687e-03 6.4345e-03 7.4373e-01 2.4030e-01 7.5796e-05 3.6534e-04 4.8378e-03 1.5096e-06 1.7588e-07 4.1560e-08 2.9880e-03 6.9293e-07 2.3782e+03
1.4797e-05 5.6654e-01 1.2689e-03 6.4361e-03 7.4373e-01 2.4030e-01 7.5819e-05 3.6547e-04 4.8386e-03 1.5100e-06 1.7595e-07 4.1552e-08 2.9866e-03 6.9247e-07 2.3782e+03
1.4968e-05 5.6005e-01 1.2690e-03 6.4377e-03 7.4373e-01 2.4029e-01 7.5843e-05 3.6560e-04 4.8394e-03 1.5103e-06 1.7602e-07 4.1544e-08 2.9852e-03 6.9201e-07 2.3782e+03
1.5142e-05 5.5364e-01 1.2692e-03 6.4394e-03 7.4373e-01 2.4029e-01 7.5866e-05 3.6573e-04 4.8402e-03 1.5106e-06 1.7609e-07 4.1536e-08 2.9838e-03 6.9154e-07 2.3782e+03
1.5317e-05 5.4730e-01 1.2693e-03 6.4410e-03 7.4373e-01 2.4029e-01 7.5890e-05 3.6587e-04 4.8410e-03 1.5110e-06 1.7617e-07 4.1528e-08 2.9823e-03 6.9107e-07 2.3781e+03
1.5495e-05 5.4103e-01 1.2695e-03 6.4427e-03 7.4373e-01 2.4029e-01 7.5915e-05 3.6600e-04 4.8418e-03 1.5113e-06 1.7624e-07 4.1520e-08 2.9808e-03 6.9059e-07 2.3781e+03
1.5675e-05 5.3483e-01 1.2696e-03 6.4444e-03 7.4373e-01 2.4029e-01 7.5939e-05 3.6614e-04 4.8426e-03 1.5117e-06 1.7631e-07 4.1512e-08 2.9793e-03 6.9011e-07 2.3781e+03
1.5856e-05 5.2871e-01 1.2698e-03 6.4461e-03 7.4373e-01 2.4028e-01 7.5964e-05 3.6628e-04 4.8435e-03 1.5120e-06 1.7639e-07 4.1504e-08 2.9778e-03 6.8962e-07 2.3781e+03
1.6040e-05 5.2265e-01 1.2700e-03 6.4478e-03 7.4373e-01 2.4028e-01 7.5989e-05 3.6642e-04 4.8443e-03 1.5124e-06 1.7647e-07 4.1495e-08 2.9763e-03 6.8913e-07 2.3781e+03
1.6226e-05 5.1667e-01 1.2701e-03 6.4495e-03 7.4373e-01 2.4028e-01 7.6014e-05 3.6657e-04 4.8452e-03 1.5128e-06 1.7654e-07 4.1487e-08 2.9748e-03 6.8863e-07 2.3780e+03
1.6414e-05 5.1075e-01 1.2703e-03 6.4513e-03 7.4374e-01 2.4028e-01 7.6040e-05 3.6671e-04 4.8460e-03 1.5131e-06 1.7662e-07 4.1478e-08 2.9732e-03 6.8813e-07 2.3780e+03
1.6604e-05 5.0490e-01 1.2704e-03 6.4531e-03 7.4374e-01 2.4028e-01 7.6066e-05 3.6686e-04 4.8469e-03 1.5135e-06 1.7670e-07 4.1470e-08 2.9717e-03 6.8762e-07 2.3780e+03
1.6797e-05 4.9912e-01 1.2706e-03 6.4549e-03 7.4374e-01 2.4027e-01 7.6092e-05 3.6700e-04 4.8478e-03 1.5139e-06 1.7678e-07 4.1461e-08 2.9701e-03 6.8711e-07 2.3780e+03
1.6991e-05 4.9340e-01 1.2708e-03 6.4567e-03 7.4374e-01 2.4027e-01 7.6119e-05 3.6715e-04 4.8487e-03 1.5142e-06 1.7686e-07 4.1452e-08 2.9685e-03 6.8659e-07 2.3780e+03
1.7188e-05 4.8775e-01 1.2709e-03 6.4585e-03 7.4374e-01 2.4027e-01 7.6145e-05 3.6730e-04 4.8496e-03 1.5146e-06 1.7694e-07 4.1443e-08 2.9669e-03 6.8607e-07 2.3779e+03
1.7388e-05 4.8217e-01 1.2711e-03 6.4604e-03 7.4374e-01 2.4027e-01 7.6173e-05 3.6746e-04 4.8505e-03 1.5150e-06 1.7702e-07 4.1434e-08 2.9652e-03 6.8554e-07 2.3779e+03
1.7589e-05 4.7665e-01 1.2713e-03 6.4622e-03 7.4374e-01 2.4027e-01 7.6200e-05 3.6761e-04 4.8514e-03 1.5154e-06 1.7711e-07 4.1425e-08 2.9636e-03 6.8501e-07 2.3779e+03
1.7793e-05 4.7119e-01 1.2715e-03 6.4641e-03 7.4374e-01 2.4026e-01 7.6228e-05 3.6777e-04 4.8523e-03 1.5158e-06 1.7719e-07 4.1416e-08 2.9619e-03 6.8447e-07 2.3779e+03
1.7999e-05 4.6579e-01 1.2716e-03 6.4661e-03 7.4374e-01 2.4026e-01 7.6256e-05 3.6792e-04 4.8532e-03 1.5162e-06 1.7728e-07 4.1407e-08 2.9602e-03 6.8392e-07 2.3778e+03
1.8208e-05 4.6046e-01 1.2718e-03 6.4680e-03 7.4374e-01 2.4026e-01 7.6284e-05 3.6808e-04 4.8542e-03 1.5166e-06 1.7736e-07 4.1397e-08 2.9585e-03 6.8337e-07 2.3778e+03
1.8419e-05 4.5519e-01 1.2720e-03 6.4700e-03 7.4374e-01 2.4026e-01 7.6313e-05 3.6825e-04 4.8551e-03 1.5170e-06 1.7745e-07 4.1388e-08 2.9568e-03 6.8281e-07 2.3778e+03
1.8632e-05 4.4997e-01 1.2722e-03 6.4719e-03 7.4374e-01 2.4025e-01 7.6342e-05 3.6841e-04 4.8561e-03 1.5174e-06 1.7754e-07 4.1378e-08 2.9550e-03 6.8225e-07 2.3778e+03
1.8848e-05 4.4482e-01 1.2723e-03 6.4740e-03 7.4374e-01 2.4025e-01 7.6371e-05 3.6857e-04 4.8571e-03 1.5178e-06 1.7763e-07 4.1368e-08 2.9533e-03 6.8168e-07 2.3778e+03
1.9067e-05 4.3973e-01 1.2725e-03 6.4760e-03 7.4375e-01 2.4025e-01 7.6401e-05 3.6874e-04 4.8581e-03 1.5183e-06 1.7772e-07 4.1359e-08 2.9515e-03 6.8111e-07 2.3777e+03
1.9288e-05 4.3469e-01 1.2727e-03 6.4780e-03 7.4375e-01 2.4025e-01 7.6431e-05 3.6891e-04 4.8591e-03 1.5187e-06 1.7781e-07 4.1349e-08 2.9497e-03 6.8053e-07 2.3777e+03
1.9511e-05 4.2972e-01 1.2729e-03 6.4801e-03 7.4375e-01 2.4024e-01 7.6461e-05 3.6908e-04 4.8601e-03 1.5191e-06 1.7790e-07 4.1339e-08 2.9479e-03 6.7994e-07 2.3777e+03
1.9738e-05 4.2479e-01 1.2731e-03 6.4822e-03 7.4375e-01 2.4024e-01 7.6492e-05 3.6925e-04 4.8611e-03 1.5196e-06 1.7799e-07 4.1328e-08 2.9461e-03 6.7935e-07 2.3777e+03
1.9966e-05 4.1993e-01 1.2733e-03 6.4843e-03 7.4375e-01 2.4024e-01 7.6523e-05 3.6943e-04 4.8622e-03 1.5200e-06 1.7809e-07 4.1318e-08 2.9442e-03 6.7875e-07 2.3776e+03
2.0198e-05 4.1512e-01 1.2735e-03 6.4864e-03 7.4375e-01 2.4024e-01 7.6555e-05 3.6960e-04 4.8632e-03 1.5204e-06 1.7818e-07 4.1308e-08 2.9423e-03 6.7815e-07 2.3776e+03
2.0432e-05 4.1037e-01 1.2737e-03 6.4886e-03 7.4375e-01 2.4023e-01 7.6586e-05 3.6978e-04 4.8643e-03 1.5209e-06 1.7828e-07 4.1297e-08 2.9405e-03 6.7754e-07 2.3776e+03
2.0669e-05 4.0567e-01 1.2739e-03 6.4908e-03 7.4375e-01 2.4023e-01 7.6618e-05 3.6996e-04 4.8653e-03 1.5213e-06 1.7838e-07 4.1287e-08 2.9385e-03 6.7692e-07 2.3776e+03
2.0908e-05 4.0103e-01 1.2741e-03 6.4930e-03 7.4375e-01 2.4023e-01 7.6651e-05 3.7014e-04 4.8664e-03 1.5218e-06 1.7848e-07 4.1276e-08 2.9366e-03 6.7630e-07 2.3775e+03
2.1151e-05 3.9643e-01 1.2743e-03 6.4952e-03 7.4375e-01 2.4023e-01 7.6684e-05 3.7033e-04 4.8675e-03 1.5223e-06 1.7858e-07 4.1265e-08 2.9347e-03 6.7567e-07 2.3775e+03
2.1396e-05 3.9189e-01 1.2745e-03 6.4975e-03 7.4375e-01 2.4022e-01 7.6717e-05 3.7051e-04 4.8686e-03 1.5227e-06 1.7868e-07 4.1254e-08 2.9327e-03 6.7504e-07 2.3775e+03
2.1644e-05 3.8741e-01 1.2747e-03 6.4998e-03 7.4376e-01 2.4022e-01 7.6751e-05 3.7070e-04 4.8697e-03 1.5232e-06 1.7878e-07 4.1243e-08 2.9307e-03 6.7440e-07 2.3775e+03
2.1895e-05 3.8297e-01 1.2749e-03 6.5021e-03 7.4376e-01 2.4022e-01 7.6785e-05 3.7089e-04 4.8708e-03 1.5237e-06 1.7888e-07 4.1232e-08 2.9287e-03 6.7375e-07 2.3774e+03
2.2149e-05 3.7859e-01 1.2752e-03 6.5044e-03 7.4376e-01 2.4021e-01 7.6819e-05 3.7109e-04 4.8720e-03 1.5242e-06 1.7899e-07 4.1220e-08 2.9267e-03 6.7310e-07 2.3774e+03
2.2405e-05 3.7425e-01 1.2754e-03 6.5068e-03 7.4376e-01 2.4021e-01 7.6854e-05 3.7128e-04 4.8731e-03 1.5247e-06 1.7909e-07 4.1209e-08 2.9246e-03 6.7244e-07 2.3774e+03
2.2665e-05 3.6997e-01 1.2756e-03 6.5092e-03 7.4376e-01 2.4021e-01 7.6889e-05 3.7148e-04 4.8743e-03 1.5252e-06 1.7920e-07 4.1197e-08 2.9226e-03 6.7177e-07 2.3774e+03
2.2928e-05 3.6573e-01 1.2758e-03 6.5116e-03 7.4376e-01 2.4021e-01 7.6924e-05 3.7168e-04 4.8755e-03 1.5257e-06 1.7931e-07 4.1186e-08 2.9205e-03 6.7110e-07 2.3773e+03
2.3193e-05 3.6154e-01 1.2760e-03 6.5140e-03 7.4376e-01 2.4020e-01 7.6960e-05 3.7188e-04 4.8767e-03 1.5262e-06 1.7942e-07 4.1174e-08 2.9184e-03 6.7042e-07 2.3773e+03
2.3462e-05 3.5740e-01 1.2763e-03 6.5165e-03 7.4376e-01 2.4020e-01 7.6997e-05 3.7208e-04 4.8779e-03 1.5267e-06 1.7953e-07 4.1162e-08 2.9162e-03 6.6973e-07 2.3773e+03
2.3734e-05 3.5331e-01 1.2765e-03 6.5189e-03 7.4376e-01 2.4020e-01 7.7033e-05 3.7229e-04 4.8791e-03 1.5272e-06 1.7964e-07 4.1150e-08 2.9141e-03 6.6904e-07 2.3772e+03
2.4009e-05 3.4927e-01 1.2767e-03 6.5215e-03 7.4376e-01 2.4019e-01 7.7070e-05 3.7250e-04 4.8803e-03 1.5277e-06 1.7975e-07 4.1137e-08 2.9119e-03 6.6834e-07 2.3772e+03
2.4288e-05 3.4527e-01 1.2770e-03 6.5240e-03 7.4377e-01 2.4019e-01 7.7108e-05 3.7271e-04 4.8815e-03 1.5283e-06 1.7987e-07 4.1125e-08 2.9097e-03 6.6763e-07 2.3772e+03
2.4569e-05 3.4132e-01 1.2772e-03 6.5266e-03 7.4377e-01 2.4019e-01 7.7146e-05 3.7292e-04 4.8828e-03 1.5288e-06 1.7998e-07 4.1113e-08 2.9075e-03 6.6691e-07 2.3772e+03
2.4854e-05 3.3741e-01 1.2774e-03 6.5292e-03 7.4377e-01 2.4018e-01 7.7184e-05 3.7314e-04 4.8841e-03 1.5293e-06 1.8010e-07 4.1100e-08 2.9052e-03 6.6619e-07 2.3771e+03
