flowobject_from,flowobject_to,classification_from,classification_to,comment,skos_uri
15,fi_0111,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
16,fi_2311,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
16,fi_2313,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
17,fi_39120_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
18,fi_2371,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
19,fi_23140_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
20,fi_2341,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
20,fi_23490_90,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
21,fi_23140_02,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
22,fi_2342,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
22,fi_2343,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
23,fi_23220_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
24,fi_23220_02,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
26,fi_24230_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
27,fi_0113,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
28,fi_23162,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
29,fi_23161_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
31,fi_23161_02,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
32,fi_23161_03,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
33,fi_39130_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
34,fi_23220_03,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
35,fi_39120_02,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
36,fi_21691_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
37,fi_21910_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
38,fi_23120_01,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
38,fi_23130,fcl,bonsai_v2_0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
39,fi_24230_02,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
41,fi_23140_03,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
44,fi_0115,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
45,fi_23140_04,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
46,fi_23140_05,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
47,fi_39120_03,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
48,fi_23120_02,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
48,fi_23130,fcl,bonsai_v2_0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
49,fi_2432,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
50,fi_23999_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
51,fi_24310_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
56,fi_0112,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
57,fi_23140_06,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
58,fi_23120_03,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
58,fi_23130,fcl,bonsai_v2_0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
59,fi_39120_04,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
60,fi_21691_02,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
61,fi_21910_02,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
63,fi_39130_02,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
64,fi_23220_04,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
66,fi_24310_02,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
71,fi_0116,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
72,fi_23120_04,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
72,fi_23130,fcl,bonsai_v2_0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
73,fi_39120_05,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
75,fi_0117,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
76,fi_23140_07,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
77,fi_39120_06,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
79,fi_0118,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
80,fi_23120_05,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
80,fi_23130,fcl,bonsai_v2_0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
81,fi_39120_07,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
82,fi_24310_03,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
83,fi_0114,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
84,fi_23120_06,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
84,fi_23130,fcl,bonsai_v2_0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
85,fi_39120_08,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
86,fi_24310_04,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
89,fi_01192,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
90,fi_23120_07,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
90,fi_23130,fcl,bonsai_v2_0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
91,fi_39120_09,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
92,fi_01194,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
94,fi_01193,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
95,fi_23120_08,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
95,fi_23130,fcl,bonsai_v2_0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
96,fi_39120_10,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
97,fi_01191,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
98,fi_23120_09,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
98,fi_23130,fcl,bonsai_v2_0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
99,fi_39120_11,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
101,fi_01195,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
103,fi_01199_02,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
104,fi_23120_10,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
104,fi_23130,fcl,bonsai_v2_0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
105,fi_39120_12,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
108,fi_01199_01,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
108,fi_01199_90,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
109,fi_23991_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
110,fi_23490_01,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
111,fi_23120_90,fcl,bonsai_v2_0,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
111,fi_23130,fcl,bonsai_v2_0,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
112,fi_39120_13,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
113,fi_23140_08,fcl,bonsai_v2_0,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
