code,parent_code,level,comment,name
hfcs,,1,emission,hydrofluorocarbons
hfc-23,,1,emission,Trifluoromethane
hfc-32,,1,emission,Difluoromethane
hfc-41,,1,emission,Fluoromethane
hfc-125,,1,emission,Pentafluoroethane
hfc-134a,,1,emission,"1,1,1,2-Tetrafluoroethane"
hfc-143a,,1,emission,"1,1,1-Trifluoroethane"
hfc-152a,,1,emission,"1,1-Difluoroethane"
hfc-227ea,,1,emission,"1,1,1,2,3,3,3-Heptafluoropropane"
hfc-236fa,,1,emission,"1,1,1,3,3,3-Hexafluoropropane"
hfc-245fa,,1,emission,"1,1,1,3,3-Pentafluoropropane"
hfc-365mfc,,1,emission,"1,1,1,3,3-Pentafluorobutane"
hfc-43-10mee,,1,emission,"1,1,1,2,3,4,4,5,5,5-Decafluoropentane"
pfcs,,1,emission,perfluorocarbons
pfc-14,,1,emission,Perfluoromethane
pfc-116,,1,emission,Perfluoroethane
pfc-218,,1,emission,Perfluoropropane
pfc-3-1-10,,1,emission,Perfluorobutane
pfc-4-1-12,,1,emission,Perfluoropentane
pfc-5-1-14,,1,emission,Perfluorohexane
pfc-7-1-18,,1,emission,Perfluorocyclohexane
pfc-9-1-18,,1,emission,Perfluorodecalin
sf6,,1,emission,sulfur hexafluoride
nf3,,1,emission,nitrogen trifluoride
CO2,,1,emission,carbon dioxide
CH4,,1,emission,methane
agforfi,,1,product,"product of agriculture, forestry and fishery"
crop,,1,product,generic crop
grain,,1,product,generic grains
wheat,,1,product,wheat
wheat_winter,,1,product,winter wheat
wheat_spring,,1,product,spring wheat
barley,,1,product,barley
oat,,1,product,oats
maize,,1,product,maize
rye,,1,product,rye
rice,,1,product,rice
millet,,1,product,millet
sorghum,,1,product,sorghum
vegetable,,1,product,vegatables
bean,,1,product,beans and pulses
forage_crop,,1,product,forage crops
alfalfa,,1,product,alfalfa
hay_non-legume,,1,product,non-legume hay
forage_n-fixing,,1,product,n-fixing forages
forage_non-n-fixing,,1,product,non-n-fixing forages
grass_perennial,,1,product,perennial grasses
grass-clover,,1,product,grass-clover mixtures (grass dominating 2 over 1)
nut,,1,product,nuts
oilseed,,1,product,oilseeds
soybean,,1,product,soybeans
peanut,,1,product,peanuts
starch,,1,product,crops with high starch content
potato,,1,product,potatoes and tubers
animal,,1,product,animal
cattle,,1,product,cattle (not specified)
cattle-dairy,,1,product,mature dairy cow
cattle-other,,1,product,other cattle
cattle-other_mature-fem,,1,product,mature other cattle female
cattle-other_mature-fem-grazing,,1,product,mature other cattle female grazing
cattle-other_mature-fem-farming,,1,product,other mature non-dairy cattle females farming
cattle-other_mature-mal,,1,product,other mature non-dairy cattle males
cattle-other_mature-mal-grazing,,1,product,other mature non-dairy cattle males grazing
cattle-other_mature-mal-farming,,1,product,other mature non-dairy cattle males farming
cattle-other_calve-milk,,1,product,other non-dairy cattle calve on milk
cattle-other_calve-forage,,1,product,other non-dairy cattle calve on forage
cattle-other_growing,,1,product,growing cattle
cattle-other_feedlot,,1,product,feedlock cattle
cattle-other_draftbullock,,1,product,draft bullocks (castrated)
cattle-other_bullgrazing,,1,product,grazing bulls
cattle-other_replacement,,1,product,cattle for replacement
cattle-dairy_lp,,1,product,mature dairy cow in low productivity systems
cattle-dairy_hp,,1,product,mature dairy cow in high productivity systems
cattle-other_lp,,1,product,other cattle in low productivity systems
cattle-other_hp,,1,product,other cattle in high productivity systems
cattle-other_hp_mature-fem,,1,product,other mature non-dairy cattle females how in high productivity systems
cattle-other_hp_mature-fem-grazing,,1,product,other mature non-dairy cattle females grazing in  high productivity systems
cattle-other_hp_mature-fem-farming,,1,product,other mature non-dairy cattle females farming in high productivity systems
cattle-other_hp_mature-mal,,1,product,other mature non-dairy cattle males in high productivity systems
cattle-other_hp_mature-mal-grazing,,1,product,other mature non-dairy cattle males grazing in high productivity systems
cattle-other_hp_mature-mal-farming,,1,product,other mature non-dairy cattle males farming in high productivity systems
cattle-other_hp_calve-milk,,1,product,other non-dairy cattle calve on milk in high productivity systems
cattle-other_hp_calve-forage,,1,product,other non-dairy cattle calve on forage in high productivity systems
cattle-other_hp_growing,,1,product,growing cattle in high productivity systems
cattle-other_hp_feedlot,,1,product,feedlock cattle in high productivity systems
cattle-other_hp_draftbullock,,1,product,draft bullocks (castrated) in high productivity systems
cattle-other_hp_bullgrazing,,1,product,grazing bulls in high productivity systems
cattle-other_hp_replacement,,1,product,cattle for replacement in high prodcutivity systems
cattle-other_lp_mature-fem,,1,product,other mature non-dairy cattle females in low productivity systems
cattle-other_lp_mature-fem-grazing,,1,product,other mature non-dairy cattle females grazing in low productivity systems
cattle-other_lp_mature-fem-farming,,1,product,other mature non-dairy cattle females farming in low productivity systems
cattle-other_lp_mature-mal,,1,product,other mature non-dairy cattle males in low productivity systems
cattle-other_lp_mature-mal-grazing,,1,product,other mature non-dairy cattle males grazing in low productivity systems
cattle-other_lp_mature-mal-farming,,1,product,other mature non-dairy cattle males farming in low productivity systems
cattle-other_lp_calve-milk,,1,product,other non-dairy cattle calve on milk in low productivity systems
cattle-other_lp_calve-forage,,1,product,other non-dairy cattle calve on forage in low productivity systems
cattle-other_lp_growing,,1,product,growing cattle in low productivity systems
cattle-other_lp_feedlot,,1,product,feedlock cattle in low productivity systems
cattle-other_lp_draftbullock,,1,product,draft bullocks (castrated) in low productivity systems
cattle-other_lp_bullgrazing,,1,product,grazing bulls in low productivity systems
cattle-other_lp_replacement,,1,product,cattle for replacement in low prodcutivity systems
buffalo,,1,product,includes breeding and working males and females and growing buffalos
buffalo_hp,,1,product,buffalos in high prodcutivity systems
buffalo_lp,,1,product,buffalos in low prodcutivity systems
buffalo-dairy,,1,product,mature dairy buffallo female
buffalo-dairy_lp,,1,product,mature dairy buffallo female in low prodcutivity systems
buffalo-dairy_hp,,1,product,mature dairy buffallo female in high prodcutivity systems
buffalo-nondairy,,1,product,buffalos non-dairy
buffalo-nondairy_mature-male,,1,product,buffalos non-dairy mature male
buffalo-nondairy_male-working,,1,product,buffalos non-dairy working male
buffalo-nondairy_male-breeding,,1,product,buffalos non-dairy breeding male
buffalo-nondairy_growing,,1,product,buffalos non-dairy growing
buffalo-nondairy_calve,,1,product,buffalo non-dairy calves
swine,,1,product,swine (not specified)
swine-mature,,1,product,mature swine
swine-mature_breeding,,1,product,mature swine breeding
swine-mature_lp,,1,product,mature swine in low productivity system
swine-mature_hp,,1,product,mature swine in high productivity system
swine-mature_lp_breeding,,1,product,breeding swine (sow) in high productivity system
swine-mature_hp_breeding,,1,product,breeding swine (sow) in low productivity system
swine-growing,,1,product,growing swine
swine-growing_hp,,1,product,growing swine in high productivity system
swine-growing_lp,,1,product,growing swine in low productivity system
swine-growing_hp_4to7kg,,1,product,growing swine 4 to 7 kg
swine-growing_hp_7to20kg,,1,product,growing swine 7 to 20 kg
