name,schema_name,location,created_by,url,comment
tree_bonsai_v2_0,ActivityType,tree_bonsai_v2_0.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/tree_bonsai_v2_0.csv?inline=false","BONSAI Activity Type classification"
tree_hexio_v_3_3_18,ActivityType,tree_hexio_v_3_3_18.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/tree_hexio_v_3_3_18.csv?inline=false","EXIOABSE HYBRID v3.3.18, source: https://zenodo.org/records/13449634"
tree_iea_energy_balance,ActivityType,tree_iea_energy_balance.csv,"https://gitlab.com/Albertkwame, https://gitlab.com/mabudz","https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/tree_iea_energy_balance.csv?inline=false","classification for IEA World Energy Balance activities, source: https://wds.iea.org/wds/pdf/worldbal_documentation.pdf"
tree_isic_rev4,ActivityType,tree_isic_rev4.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/tree_isic_rev4.csv?inline=false","International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, source: https://unstats.un.org/unsd/classifications/isic/revision"
tree_nace_rev2,ActivityType,tree_nace_rev2.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/tree_nace_rev2.csv?inline=false","Statistical Classification of Economic Activities in the European Community, Rev. 2 (2008) (NACE Rev. 2), source: https://ec.europa.eu/eurostat/ramon/nomenclatures/index.cfm?TargetUrl=LST_CLS_DLD&StrNom=NACE_REV2&StrLanguage#"
tree_undata_energy_stats,ActivityType,tree_undata_energy_stats.csv,"https://gitlab.com/Albertkwame, https://gitlab.com/mabudz, https://gitlab.com/SanderNielen","https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/tree_undata_energy_stats.csv?inline=false","classification for Energy Balance DataFlow activities (DF_UNDATA_ENERGY), source: https://unstats.un.org/unsd/energystats/api/; https://unstats.un.org/unsd/energystats/pubs/balance/2021/03.pdf"
tree_japan_activ,ActivityType,tree_japan_activ.csv,https://gitlab.com/SanderNielen,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/tree_japan_activ.csv?inline=false",
tree_nace_rev1_1,ActivityType,tree_nace_rev1_1.csv,https://gitlab.com/SanderNielen,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/tree_nace_rev1_1.csv?inline=false",
dim_ec_2008_98,ActivityType,dim_ec_2008_98.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/dim_ec_2008_98.csv?inline=false","DIRECTIVE 2008/98/EC OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 19 November 2008 on waste and repealing certain Directives, source: https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32008L0098&from=EN"
dim_level,Level,dim_level.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/dim_level.csv?inline=false","levels of classification codes"
conc_ec_2008_98_nace_rev2,ActivityTypeCorrespondence,conc_ec_2008_98_nace_rev2.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/conc_ec_2008_98_nace_rev2.csv?inline=false","concordance between EC_2008-98 and NACE_Rev2"
conc_isic_rev4_nace_rev2,ActivityTypeCorrespondence,conc_isic_rev4_nace_rev2.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/conc_isic_rev4_nace_rev2.csv?inline=false","concordance between ISIC_Rev4 and NACE_Rev2, source: https://unstats.un.org/unsd/classifications/Econ/isic"
conc_bonsut_v2_0_hexio_v_3_3_18,ActivityTypeCorrespondence,conc_bonsut_v2_0_hexio_v_3_3_18.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/conc_bonsut_v2_0_hexio_v_3_3_18.csv?inline=false","concordance between Bonsai SUT codes and hybrid Exiobase v3.3.18"
conc_nace_rev2_bonsai_v2_0,ActivityTypeCorrespondence,conc_nace_rev2_bonsai_v2_0.csv,https://gitlab.com/SanderNielen,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/conc_nace_rev2_bonsai_v2_0.csv?inline=false","concordance between Bonsai master classification and NACE Rev2"
conc_japan_activ_bonsai_v2_0,ActivityTypeCorrespondence,conc_japan_activ_bonsai_v2_0.csv,https://gitlab.com/SanderNielen,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/conc_japan_activ_bonsai_v2_0.csv?inline=false","concordance between Japanese activity codes and Bonsai"
conc_isic_rev4_bonsai_v2_0,ActivityTypeCorrespondence,conc_isic_rev4_bonsai_v2_0.csv,"https://gitlab.com/yanan_liang, https://gitlab.com/SanderNielen, https://gitlab.com/Albertkwame, https://gitlab.com/mabudz","https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/conc_isic_rev4_bonsai_v2_0.csv?inline=false","concordance between Bonsai master classification and ISIC Rev4"
conc_isic_africa_bonsai_v2_0,ActivityTypeCorrespondence,conc_isic_africa_bonsai_v2_0.csv,"https://gitlab.com/SanderNielen, https://gitlab.com/SanderNielen","https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/conc_isic_africa_bonsai_v2_0.csv?inline=false","concordance between ISIC-derived codes in ASUT and Bonsai"
tree_bea_activ,ActivityType,tree_bea_activ.csv,https://gitlab.com/SanderNielen,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/tree_bea_activ.csv?inline=false",BEA codes are used in the US MSUT
conc_bea_activ_bonsai_v2_0,ActivityTypeCorrespondence,conc_bea_activ_bonsai_v2_0.csv,https://gitlab.com/SanderNielen,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/conc_bea_activ_bonsai_v2_0.csv?inline=false",BEA codes are used in the US MSUT
tree_statcan_chemicals,ActivityType,tree_statcan_chemicals.csv,https://gitlab.com/Albertkwame,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/tree_statcan_chemicals.csv?inline=false","Industrial chemical and synthetic resins production, annual, source: https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610003301"
conc_bonsut_v2_0_bonsai_v2_0,ActivityTypeCorrespondence,conc_bonsut_v2_0_bonsai_v2_0.csv,https://gitlab.com/mabudz,"https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/conc_bonsut_v2_0_bonsai_v2_0.csv?inline=false","concordance between Bonsai SUT codes and BONSAI workflow codes for activitytype"
tree_bonsut_v2_0,ActivityType,tree_bonsut_v2_0.csv,"https://gitlab.com/Ste_Mrc, https://gitlab.com/mabudz, https://gitlab.com/panday1995, https://gitlab.com/SanderNielen, https://gitlab.com/Albertkwame","https://gitlab.com/bonsamurais/bonsai/util/classifications/-/raw/main/src/classifications/data/flow/activitytype/tree_bonsut_v2_0.csv?inline=false","BONSUT Activity Type classification"
