flowobject_from,flowobject_to,classification_from,classification_to,comment,skos_uri
fi_4112,raw steel,bonsai_v2_0,usgs,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_41118,pig iron and direct-reduced iron,bonsai_v2_0,usgs,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_41111,pig iron,bonsai_v2_0,usgs,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_41116,direct-reduced iron,bonsai_v2_0,usgs,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
fi_2523_21,hydraulic cement,bonsai_v2_0,usgs,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
