code,parent_code,name,level
0100,,Hard Coal,0
0110,100.0,Anthracite,1
0121,100.0,Coking coal,1
0129,100.0,Other bituminous coal,1
0200,,Brown Coal,0
0210,200.0,Sub-bituminous coal,1
0220,200.0,Lignite,1
0311,,Coke Oven Coke,0
0312,,Gas Coke,0
0320,,Patent fuel,0
0330,,Brown Coal Briquettes,0
0340,,Coal Tar,0
0350,,Coke Oven Gas,0
0360,,Gasworks Gas,0
0371,,Blast Furnace Gas,0
0379,,Other recovered gases,0
0390,,Other coal products,0
1100,,Peat,0
1200,,Peat Products,0
2000,,Oil Shale / Oil Sands,0
3000,,Natural Gas (including LNG),0
4100,,Conventional crude oil,0
4200,,Natural Gas Liquids,0
4300,,Refinery Feedstocks,0
4400,,Additives and Oxygenates,0
4500,,Other hydrocarbons,0
4610,,Refinery Gas,0
4620,,Ethane,0
4630,,Liquified Petroleum Gas,0
4640,,Naphtha,0
4651,,Aviation Gasoline,0
4652,,Motor Gasoline,0
4653,,Gasoline-type jet fuel,0
4661,,Kerosene-type Jet Fuel,0
4669,,Other kerosene,0
4670,,Gas Oil/ Diesel Oil,0
4680,,Fuel Oil,0
4691,,White spirit and special boiling point industrial spirits,0
4692,,Lubricants,0
4693,,Paraffin waxes,0
4694,,Petroleum Coke,0
4695,,Bitumen,0
4699,,Other oil products n.e.c.,0
5110,,Fuelwood,0
5120,,Bagasse,0
5130,,Animal waste,0
5140,,Black liquor,0
5150,,Other Vegetal Material and Residues,0
5160,,Charcoal,0
5210,,Biogasoline,0
5212,4652.0,Of which: biogasoline,1
5220,4670.0,Biodiesel,1
5222,,Of which: biodiesel,0
5230,,Bio jet kerosene,0
5232,4661.0,Of which: bio jet kerosene,1
5290,,Other liquid biofuels,0
5300,,Biogases,0
6100,,Industrial Waste,0
6200,,Municipal Wastes,0
7000,,Total Electricity,0
7000G,7000.0,Geothermal,1
7000H,7000.0,Hydro,1
7000N,7000.0,Nuclear Electricity,1
7000O,7000.0,"Tide, wave and ocean electricity",1
7000S,7000.0,Solar Electricity,1
7000T,7000.0,Thermal Electricity,1
7000W,7000.0,Wind Electricity,1
8000,,Heat,0
8000T,8000.0,Heat from combustible fuels,1
9101,,Uranium,0
DG,,Direct use of geothermal heat,0
DS,,Direct use of solar thermal heat,0
EC,,"Electricity, net installed capacity of electric power plants",0
GR,,Total Refinery Output,0
WF,,Falling Water,0
