code,name,new_pint_dimension,scale,reference_unit,alias,description,comment
kt,kilo tonne,,1000000,kilogram,,,
tonnes,metric tonne,,1000,kilogram,,,
tkm,tonne kilometer,,1,tonne*kilometer,t_km,,
item,item of product,item,1,,items,,
cap,capita,capita,1,,,,
