season,week,event_id,team_abbr,athlete_id,athlete_name,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec_tgt,rec_rec,rec_yds,rec_td,fum_lost,k_fgm,k_fga,xp_made,xp_att,position,player_id,player_name
2025,4,401772938,ARI,4363538,Chad Ryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4363538,Chad Ryland
2025,4,401772938,ARI,4362478,Emari Demercado,0,0,0,0,0,2,8,0,0,2,13,1,0,0,0,0,0,,4362478,Emari Demercado
2025,4,401772938,ARI,4037235,Greg Dortch,0,0,0,0,0,1,4,0,0,4,35,0,0,0,0,0,0,,4037235,Greg Dortch
2025,4,401772938,ARI,3917315,Kyler Murray,27,41,200,2,2,5,41,0,0,0,0,0,0,0,0,0,0,,3917315,Kyler Murray
2025,4,401772938,ARI,4432708,Marvin Harrison Jr.,0,0,0,0,0,0,0,0,0,6,66,1,0,0,0,0,0,,4432708,Marvin Harrison Jr.
2025,4,401772938,ARI,4240657,Michael Carter,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,4240657,Michael Carter
2025,4,401772938,ARI,4360761,Michael Wilson,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,,4360761,Michael Wilson
2025,4,401772938,ARI,4429275,Trey Benson,0,0,0,0,0,8,35,0,0,5,19,0,0,0,0,0,0,,4429275,Trey Benson
2025,4,401772938,ARI,4361307,Trey McBride,0,0,0,0,0,0,0,0,0,7,52,0,0,0,0,0,0,,4361307,Trey McBride
2025,4,401772938,ARI,4428811,Xavier Weaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4428811,Xavier Weaver
2025,4,401772739,ATL,4430807,Bijan Robinson,0,0,0,0,0,17,75,1,0,4,106,0,0,0,0,0,0,,4430807,Bijan Robinson
2025,4,401772739,ATL,4428796,Casey Washington,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,,4428796,Casey Washington
2025,4,401772739,ATL,4040655,Darnell Mooney,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,,4040655,Darnell Mooney
2025,4,401772739,ATL,4426502,Drake London,0,0,0,0,0,0,0,0,0,8,110,1,0,0,0,0,0,,4426502,Drake London
2025,4,401772739,ATL,3061612,Jamal Agnew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3061612,Jamal Agnew
2025,4,401772739,ATL,4360248,Kyle Pitts Sr.,0,0,0,0,0,0,0,0,0,5,70,1,0,0,0,0,0,,4360248,Kyle Pitts Sr.
2025,4,401772739,ATL,4360423,Michael Penix Jr.,20,26,313,2,1,4,2,0,0,0,0,0,0,0,0,0,0,,4360423,Michael Penix Jr.
