# p(code_units), e(code_units) => first two columns, plus original columns afterward
# system=fm^-4 => code, pFactor=2.612195e-04, eFactor=2.612195e-04
# p (code_units),epsilon (code_units),n,mu,col4,cs2,phase
2.458001e-09,5.070654e-07,0.0025216393222952144,318,0.,0.0010777238760536184,2SC
1.675159e-08,4.807177e-06,0.023724019815255067,320,0.,0.003324004157671378,2SC
7.580255e-08,1.564159e-05,0.07681015990412188,322,0.,0.005450314111199897,2SC
2.487007e-07,4.610124e-05,0.22500831770432012,324,0.,0.00567630081791543,2SC
7.966337e-07,1.356751e-04,0.6569329272589282,326,0.,0.006117110595008862,2SC
1.829107e-06,1.962578e-04,0.9454059107133511,328,0.,0.017042379994438864,2SC
3.163624e-06,2.386473e-04,1.1443641807531788,330,0.,0.03148226180375202,2SC
4.718159e-06,2.714340e-04,1.296383996879991,332,0.,0.04741351382074984,2SC
6.446963e-06,2.985372e-04,1.4206891581021646,334,0.,0.06378588050799108,2SC
8.321730e-06,3.217657e-04,1.5261729243484332,336,0.,0.08070991402574919,2SC
1.032097e-05,3.418845e-04,1.6164697273302748,338,0.,0.09937191096102148,2SC
1.242835e-05,3.602180e-04,1.6985128655254789,340,0.,0.11494637720394339,2SC
1.463343e-05,3.764962e-04,1.7705707774798416,342,0.,0.135462520647466,2SC
1.692587e-05,3.912742e-04,1.8355499965504707,344,0.,0.1551252816170174,2SC
1.929627e-05,4.048067e-04,1.8946260624474054,346,0.,0.1751636102954561,2SC
2.173888e-05,4.172935e-04,1.9488027057315782,348,0.,0.1956153902867491,2SC
2.424762e-05,4.289049e-04,1.9988831689732414,350,0.,0.21605749466791163,2SC
2.681819e-05,4.397814e-04,2.0455315333608945,352,0.,0.23634205523465562,2SC
2.944545e-05,4.500420e-04,2.089298412738739,354,0.,0.25605382716728314,2SC
3.212704e-05,4.597854e-04,2.130644381546332,356,0.,0.2752195962629478,2SC
3.486040e-05,4.690860e-04,2.1699526261289455,358,0.,0.29389331226580817,2SC
3.764158e-05,4.780436e-04,2.2075426568174685,360,0.,0.3104825031939119,2SC
4.047014e-05,4.866888e-04,2.243684274922658,362,0.,0.32718125902016265,2SC
4.334366e-05,4.950954e-04,2.2786017283733995,364,0.,0.34181925438356764,2SC
4.626101e-05,5.032657e-04,2.3124834170638877,366,0.,0.3570649507537742,2SC
4.922081e-05,5.112755e-04,2.345485653581432,368,0.,0.3695260339322588,2SC
5.222225e-05,5.191423e-04,2.377744335730462,370,0.,0.3815282949119997,2SC
5.526400e-05,5.268926e-04,2.4093716889891184,372,0.,0.3924685670770563,2SC
5.834560e-05,5.345753e-04,2.4405679536830536,374,0.,0.4011091557972386,2SC
6.146670e-05,5.421282e-04,2.4710989623198287,376,0.,0.41323502141587587,2SC
6.462610e-05,5.496494e-04,2.5013507550586707,378,0.,0.4200648361203517,2SC
6.782404e-05,5.571249e-04,2.531275681023778,380,0.,0.42778797323660933,2SC
7.105963e-05,5.645679e-04,2.5609246290074545,382,0.,0.4347155164953475,2SC
7.433294e-05,5.719882e-04,2.590341545774167,384,0.,0.44113191072928937,2SC
7.764397e-05,5.793948e-04,2.619564740935805,386,0.,0.4470329077733507,2SC
8.099061e-05,5.867974e-04,2.648625231324982,388,0.,0.4520958070239838,2SC
8.437491e-05,5.942010e-04,2.6775531364049656,390,0.,0.4571134830034419,2SC
