code,parent_code,name,level
INDPROD,,Production,0
IMPORTS,,Imports,0
EXPORTS,,Exports,0
MARBUNK,,International marine bunkers,0
AVBUNK,,International aviation bunkers,0
STOCKCHA,,Stock changes,0
TES,,Total energy supply,0
TRANSFER,TES,Transfers,1
STATDIFF,TES,Statistical differences,1
TOTTRANF,TES,Transformation processes,1
MAINELEC,TOTTRANF,Main activity producer electricity plants,2
AUTOELEC,TOTTRANF,Autoproducer electricity plants,2
MAINCHP,TOTTRANF,Main activity producer CHP plants,2
AUTOCHP,TOTTRANF,Autoproducer CHP plants,2
MAINHEAT,TOTTRANF,Main activity producer heat plants,2
AUTOHEAT,TOTTRANF,Autoproducer heat plants,2
THEAT,TOTTRANF,Heat pumps,2
TBOILER,TOTTRANF,Electric boilers,2
TELE,TOTTRANF,Chemical heat for electricity production,2
TBLASTFUR,TOTTRANF,Blast furnaces,2
TGASWKS,TOTTRANF,Gas works,2
TCOKEOVS,TOTTRANF,Coke ovens,2
TPATFUEL,TOTTRANF,Patent fuel plants,2
TBKB,TOTTRANF,BKB/peat briquette plants,2
TREFINER,TOTTRANF,Oil refineries,2
TPETCHEM,TOTTRANF,Petrochemical plants,2
TCOALLIQ,TOTTRANF,Coal liquefaction plants,2
TGTL,TOTTRANF,Gas-to-liquids (GTL) plants,2
TBLENDGAS,TOTTRANF,For blended natural gas,2
TCHARCOAL,TOTTRANF,Charcoal production plants,2
TNONSPEC,TOTTRANF,Non-specified (transformation),2
TOTENGY,TES,Energy industry own use,1
EMINES,TOTENGY,Coal mines,2
EOILGASEX,TOTENGY,Oil and gas extraction,2
EBLASTFUR,TOTENGY,Blast furnaces (energy use),2
EGASWKS,TOTENGY,Gas works (energy use),2
EBIOGAS,TOTENGY,Gasification plants for biogases,2
ECOKEOVS,TOTENGY,Coke ovens (energy use),2
EPATFUEL,TOTENGY,Patent fuel plants (energy use),2
EBKB,TOTENGY,BKB/peat briquette plants (energy use),2
EREFINER,TOTENGY,Oil refineries (energy use),2
ECOALLIQ,TOTENGY,Coal liquefaction plants (energy use),2
ELNG,TOTENGY,Liquefaction (LNG) / regasification plants,2
EGTL,TOTENGY,Gas-to-liquids (GTL) plants (energy use),2
EPOWERPLT,TOTENGY,"Own use in electricity, CHP and heat plants",2
EPUMPST,TOTENGY,Pumped storage plants,2
ENUC,TOTENGY,Nuclear industry,2
ECHARCOAL,TOTENGY,Charcoal production plants (energy use),2
ENONSPEC,TOTENGY,Non-specified (energy),2
DISTLOSS,TES,Losses,1
TFC,,Total final consumption,0
TOTIND,TFC,Industry,1
MINING,TOTIND,Mining and quarrying,2
CONSTRUC,TOTIND,Construction,2
MANUFACT,TOTIND,Manufacturing,2
IRONSTL,MANUFACT,Iron and steel,3
CHEMICAL,MANUFACT,Chemical and petrochemical,3
NONFERR,MANUFACT,Non-ferrous metals,3
NONMET,MANUFACT,Non-metallic minerals,3
TRANSEQ,MANUFACT,Transport equipment,3
MACHINE,MANUFACT,Machinery,3
FOODPRO,MANUFACT,Food and tobacco,3
PAPERPRO,MANUFACT,"Paper,pulp and printing",3
WOODPRO,MANUFACT,Wood and wood products,3
TEXTILES,MANUFACT,Textile and leather,3
INONSPEC,MANUFACT,Industry not elsewhere specified,3
TOTTRANS,TFC,Transport,1
WORLDLAV,TOTTRANS,World aviation bunkers,2
DOMESAIR,TOTTRANS,Domestic aviation,2
ROAD,TOTTRANS,Road,2
RAIL,TOTTRANS,Rail,2
PIPELINE,TOTTRANS,Pipeline transport,2
WORLDMAR,TOTTRANS,World marine bunkers,2
DOMESNAV,TOTTRANS,Domestic navigation,2
TRNONSPE,TOTTRANS,Transport not elsewhere specified,2
RESIDENT,TFC,Residential,1
COMMPUB,TFC,Commercial and public services,1
AGRICULT,TFC,Agriculture/forestry,1
FISHING,TFC,Fishing,1
ONONSPEC,TFC,Final consumption not elsewhere specified,1
NONENUSE,TFC,Non-energy use,1
NEINTREN,NONENUSE,Non-energy use industry/transformation/energy,2
NEIND,NEINTREN,Memo: Non-energy use in industry,3
NECONSTRUC,NEIND,Memo: Non-energy use in construction,4
NEMINING,NEIND,Memo: Non-energy use in mining and quarrying,4
NEIRONSTL,NEIND,Memo: Non-energy use in iron and steel,4
NECHEM,NEIND,Memo: Non-energy use in chemical/petrochemical,4
NENONFERR,NEIND,Memo: Non-energy use in non-ferrous metals,4
NENONMET,NEIND,Memo: Non-energy use in non-metallic minerals,4
NETRANSEQ,NEIND,Memo: Non-energy use in transport equipment,4
NEMACHINE,NEIND,Memo: Non-energy use in machinery,4
NEFOODPRO,NEIND,Memo: Non-energy use in food/beverages/tobacco,4
NEPAPERPRO,NEIND,Memo: Non-energy use in paper/pulp and printing,4
NEWOODPRO,NEIND,Memo: Non-energy use in wood and wood products,4
NETEXTILES,NEIND,Memo: Non-energy use in textiles and leather,4
NEINONSPEC,NEIND,Memo: Non-energy use in industry not elsewhere specified,4
MIRONSTL,NEIND,"Memo: Iron and steel, blast furnaces and coke ovens",4
NETRANS,NONENUSE,Non-energy use in transport,2
NEOTHER,NONENUSE,Non-energy use in other,2
ELOUTPUT,,Electricity output (GWh),0
ELMAINE,ELOUTPUT,Electricity output (GWh)-main activity producer electricity plants,1
ELAUTOE,ELOUTPUT,Electricity output (GWh)-autoproducer electricity plants,1
ELMAINC,ELOUTPUT,Electricity output (GWh)-main activity producer CHP plants,1
ELAUTOC,ELOUTPUT,Electricity output (GWh)-autoproducer CHP plants,1
HEATOUT,,Heat output,0
HEMAINC,HEATOUT,Heat output-main activity producer CHP plants,1
HEAUTOC,HEATOUT,Heat output-autoproducer CHP plants,1
HEMAINH,HEATOUT,Heat output-main activity producer heat plants,1
HEAUTOH,HEATOUT,Heat output-autoproducer heat plants,1
