activitytype_from,flowobject_from,activitytype_to,flowobject_to,classification_from,classification_to,accounttype,comment,skos_uri
,fi_34651,,"Ammonia, anhydrous, 100%",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34613,,"Ammonium nitrate, all grades",bonsai_v2_0,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_34642,,"Ammonium phosphate, all grades",bonsai_v2_0,statcan_chemicals,supply,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
,fi_34643,,"Ammonium phosphate, all grades",bonsai_v2_0,statcan_chemicals,supply,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
,fi_34642,,"Ammonium phosphate",bonsai_v2_0,statcan_chemicals,supply,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
,fi_34643,,"Ammonium phosphate",bonsai_v2_0,statcan_chemicals,supply,many-to-many correspondence,http://www.w3.org/2004/02/skos/core#relatedMatch
,fi_34612,,"Ammonium sulphate",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34613,,"Ammonium nitrate",bonsai_v2_0,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_3105_51,,"Ammonium nitrate phosphate, all grades",bonsai_v2_0,statcan_chemicals,supply,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
,fi_3105_59,,"Ammonium nitrate phosphate, all grades",bonsai_v2_0,statcan_chemicals,supply,many-to-one correspondence,http://www.w3.org/2004/02/skos/core#broadMatch
,fi_2833_22,,"Aluminum sulphate (alum)",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2707_10,,"Benzene",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2801_10,,"Chlorine",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2901_21,,"Ethylene",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2912_11,,"Formaldehyde, 100% solids basis",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34710,,"Polyethylene, total",bonsai_v2_0,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_34710,,"Polyethylene resins, total",bonsai_v2_0,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_3901_10,,"Polyethylene, low and linear low density",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_3901_20,,"Polyethylene, high density",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34720,,"Polystyrene and acrylonitrile-butadiene-styrene (abs)",bonsai_v2_0,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_34720,,"Polystyrene (PS) resins and Acrylonitrile-butadiene-styrene (ABS) resins",bonsai_v2_0,statcan_chemicals,supply,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
,fi_34730,,"Polyvinyl chloride (PVC) resins",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34740,,"Thermosetting unsaturated polyester (UPR) resins",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_3909_10,,"Urea, all grades",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34611,,"Urea",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34232,,"Phosphoric acid, wet process",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2901_24,,"Butadiene",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2901_23,,"Butylene",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2901_22,,"Propylene, as propylene in all grades",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2902_50,,"Styrene monomer",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2707_20,,"Toluene",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2707_30,,"Xylene",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2905_11,,"Methyl alcohol (methanol)",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34233,,"Nitric acid, 100 %",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2803_00,,"Carbon black",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2847_00,,"Hydrogen peroxide, 100%",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2817_00,,"Zinc oxide",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2910_10,,"Ethylene oxide",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_3907_91,,"Polyesters, unsaturated",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2806_10,,"Hydrochloric (muriatic) acid, 100%",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2807_00,,"Sulphuric acid, all grades, including oleum, as 100%",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2829_11,,"Sodium chlorate",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_34231,,"Sodium hydroxide (caustic soda), as 100% NaOH",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_43911,,"Acetylene in cylinders or for delivery by pipeline",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_3464,,"Fertilizers, mixed",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
,fi_2804_40,,"Oxygen, gas and liquid in cylinders or by delivery",bonsai_v2_0,statcan_chemicals,supply,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
