flowobject,activitytype
C_BRIK,M_BRIK
C_CMNT,M_CMNT
C_COMP,M_COMP
C_CONS,M_CONS
C_CRMC,M_CRMC
C_EDUC,M_EDUC
C_ELMA,M_ELMA
C_FABM,M_FABM
C_FAUX,M_FAUX
C_FINS,M_FINS
C_FINT,M_FINT
C_FSHP,M_FSHP
C_FURN,M_FURN
C_GARM,M_GARM
C_GASD,M_GASD
C_HEAL,M_HEAL
C_HORE,M_HORE
C_INCF,M_INCF
C_LETH,M_LETH
C_MARE,M_MARE
C_MDIA,M_MDIA
C_MEIN,M_MEIN
C_METC,M_METC
C_MOTO,M_MOTO
C_OBIO,M_OBIO
C_OBUS,M_OBUS
C_OFMA,M_OFMA
C_ONMM,M_ONMM
C_ORGA,M_ORGA
C_OSER,M_OSER
C_PADF,M_PADF
C_PAPE,M_PAPE
C_POWD,M_POWD
C_POWT,M_POWT
C_PREM,M_PREM
C_PRHH,M_PRHH
C_PTEL,M_PTEL
C_RATV,M_RATV
C_REAL,M_REAL
C_RECR,M_RECR
C_RESD,M_RESD
C_RYMS,M_RYMS
C_TAIR,M_TAIR
C_TAUX,M_TAUX
C_TDFU,M_TDFU
C_TDMO,M_TDMO
C_TDRT,M_TDRT
C_TDWH,M_TDWH
C_TLND,M_TLND
C_TOBC,M_TOBC
C_TPIP,M_TPIP
C_TRAI,M_TRAI
C_TWAI,M_TWAI
C_TWAS,M_TWAS
C_WATR,M_WATR
C_WOOD,M_WOOD
C_auto,M_auto
C_truck,M_truck
C_CHMF,M_CHMF
C_FIBR,M_FIBR
C_MACH,M_MACH
C_OTRE,M_OTRE
C_POWE,M_POWE
C_NUCF,M_NUCF
C_bus,M_bus
C_ALUM,M_ALUM
C_GLAS,M_GLAS
C_LZTP,M_LZTP
C_ONFM,M_ONFM
C_STEL,M_STEL
C_TEXT,M_TEXT
C_elec_POWO,M_elec_POWO
C_OGPL,M_OGPL
C_PLAS,M_PLAS
C_PULP,M_PULP
C_RUBP,M_RUBP
C_SDCL,M_SDCL
C_STON,M_STON
C_COPP,M_COPP
C_ADDC,M_ADDC
C_FORE_comb,M_FORE
C_ORAN,M_ORAN
C_FISH,M_FISH
C_BIOD,M_BIOD
C_DOIL,M_DOIL
C_FOIL,M_FOIL
C_GASE,M_GASE
C_LPGA,M_LPGA
C_MBIO,M_MBIO
C_WHSP,M_WHSP
C_FORE,M_FORE
C_COKE,M_COKE
C_COOG,M_COOG
C_MBFG,M_MBFG
