activitytype,flowobject
A_ALUM,C_ALUM
A_ALUO,C_ALUO
A_ALUW,C_ALUW
A_AL_INCI,C_AL_INCI
A_AL_LAND,C_AL_LAND
A_ASHW,C_ASHW
A_AS_LAND,C_AS_LAND
A_Agavs,C_Agavs
A_Almod,C_Almod
A_Almol,C_Almol
A_Anisr,C_Anisr
A_Appls,C_Appls
A_Apris,C_Apris
A_Apriy,C_Apriy
A_Arecs,C_Arecs
A_Artis,C_Artis
A_Aspas,C_Aspas
A_Avocs,C_Avocs
A_BA_INCI,C_BA_INCI
A_BA_INCI_no_recov,C_BA_INCI_no_recov
A_BA_LAND,C_BA_LAND
A_BA_RECY,C_BA_RECY
A_BRIK,C_BRIK
A_Bambs,C_Bambs
A_Banas,C_Banas
A_Barly,C_Barly
A_Bastr,C_Bastr
A_Beann,C_Beann
A_Beany,C_Beany
A_Beer,C_Beer_barl
A_Berrs,C_Berrs
A_Blues,C_Blues
A_Brazd,C_Brazd
A_Brazl,C_Brazl
A_Broay,C_Broay
A_Buckt,C_Buckt
A_Bufmilk,C_Bufmilk
A_CHEM,C_ADDC
A_CHEM,C_BIOD
A_CHEM,C_BIOG
A_CHEM,C_CHEM
A_CHEM,C_OBIO
A_CHEM,C_REFF
A_CHMF,C_CHMF
A_CHP,C_heat_CHP
A_CMNT,C_CMNT
A_COAL,C_ANTH
A_COAL,C_COKC
A_COAL,C_LIBC
A_COAL,C_OTBC
A_COAL,C_PEAT
A_COAL,C_SUBC
A_COIL,C_COIL
A_COKE,C_BKBP
A_COKE,C_CHAR
A_COKE,C_COKE
A_COKE,C_COOG
A_COKE,C_COTA
A_COKE,C_OGPL
A_COKE,C_PATF
A_COMP,C_COMP
A_CONS,C_CONS
A_CONW,C_CONW
A_COPO,C_COPO
A_COPP,C_COPP
A_COPW,C_COPW
A_CO_INCI,C_CO_INCI
A_CO_INCI_no_recov,C_CO_INCI_no_recov
A_CO_LAND,C_CO_LAND
A_CO_OTHE,C_CO_OTHE
A_CRMC,C_CRMC
A_CU_INCI,C_CU_INCI
A_CU_LAND,C_CU_LAND
A_Cabbs,C_Cabbs
A_Canad,C_Canad
A_Caros,C_Caros
A_Carrs,C_Carrs
A_Cashd,C_Cashd
A_Cashe,C_Cashe
A_Cashl,C_Cashl
A_Cassa,C_Cassa
A_Cassa,C_Casss
A_Cassd,C_Cassd
A_Castd,C_Castd
A_Cauli,C_Cauli
A_Ceres,C_Ceres
A_Cherr,C_Cherr
A_Chers,C_Chers
A_Chest,C_Chest
A_Chick,C_Chick
A_Chics,C_Chics
A_Chiln,C_Chiln
A_Chily,C_Chily
A_Cinn,C_Cinn
A_Clovs,C_Clovs
A_Cocader,C_Chocs
A_Cocader,C_Coco_but
A_Cocader,C_Coco_husk
A_Cocader,C_Coco_pas
A_Cocader,C_Coco_pow
A_Cocoa,C_Cocoa
A_Cocod,C_Cocod
A_Cocon,C_Cocon
A_Coffn,C_Coffn
A_Cowmilk,C_Catmilk
A_Cowpea,C_Cowpea
A_Crans,C_Crans
A_Cucus,C_Cucus
A_Currs,C_Currs
A_DE_INCI,C_DE_INCI
A_DE_INCI_no_recov,C_DE_INCI_no_recov
A_DE_LAND,C_DE_LAND
