access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,mode
write,1621.2612,1629.0141,0.0006,16384.0000,1024.0000,0.0000,0.0098,0.0000,0.0099,1,0,none
read,9709.0370,9757.0317,0.0001,16384.0000,1024.0000,0.0000,0.0016,0.0000,0.0016,1,0,none
write,1656.4773,1660.9460,0.0006,16384.0000,1024.0000,0.0000,0.0096,0.0000,0.0097,1,1,none
read,11364.7526,11411.1314,0.0001,16384.0000,1024.0000,0.0000,0.0014,0.0000,0.0014,1,1,none
write,1680.8311,1685.6441,0.0006,16384.0000,1024.0000,0.0000,0.0095,0.0000,0.0095,1,2,none
read,10492.3177,10548.3911,0.0001,16384.0000,1024.0000,0.0000,0.0015,0.0000,0.0015,1,2,none
write,1686.0253,1690.6125,0.0006,16384.0000,1024.0000,0.0000,0.0095,0.0000,0.0095,1,3,none
read,11602.5007,11644.7795,0.0001,16384.0000,1024.0000,0.0000,0.0014,0.0000,0.0014,1,3,none
write,1703.7463,1708.3002,0.0006,16384.0000,1024.0000,0.0000,0.0094,0.0000,0.0094,1,4,none
read,11267.4385,11314.9324,0.0001,16384.0000,1024.0000,0.0000,0.0014,0.0000,0.0014,1,4,none
write,573.6193,232210.6021,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,0,none
read,2621.4400,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,0,none
write,842.9068,270600.2581,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,1,none
read,2730.6667,798915.0476,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,1,none
write,891.6463,290514.5628,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,2,none
read,2849.3913,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,2,none
write,903.9448,291777.6696,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,3,none
read,2849.3913,849479.2911,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,3,none
write,919.8035,290514.5628,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,4,none
read,2702.5155,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,4,none
write,1606.0900,1612.5736,0.0006,16384.0000,1024.0000,0.0000,0.0099,0.0000,0.0100,1,0,profile
read,9655.9517,9696.4115,0.0001,16384.0000,1024.0000,0.0000,0.0017,0.0000,0.0017,1,0,profile
write,1646.7625,1651.3821,0.0006,16384.0000,1024.0000,0.0000,0.0097,0.0000,0.0097,1,1,profile
read,10308.5813,10349.9173,0.0001,16384.0000,1024.0000,0.0000,0.0015,0.0000,0.0016,1,1,profile
write,1664.5715,1669.2917,0.0006,16384.0000,1024.0000,0.0000,0.0096,0.0000,0.0096,1,2,profile
read,10410.9314,10464.5040,0.0001,16384.0000,1024.0000,0.0000,0.0015,0.0000,0.0015,1,2,profile
write,1658.1963,1663.3750,0.0006,16384.0000,1024.0000,0.0000,0.0096,0.0000,0.0096,1,3,profile
read,9471.9639,9518.9878,0.0001,16384.0000,1024.0000,0.0000,0.0017,0.0000,0.0017,1,3,profile
write,1662.6744,1667.5495,0.0006,16384.0000,1024.0000,0.0000,0.0096,0.0000,0.0096,1,4,profile
read,10388.3690,10436.8373,0.0001,16384.0000,1024.0000,0.0000,0.0015,0.0000,0.0015,1,4,profile
write,590.4144,238821.5801,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,0,profile
read,2730.6667,849479.2911,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,0,profile
write,868.0265,280790.2259,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,1,profile
