access,bw(MiB/s),IOPS,Latency,block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),numTasks,iter,mode
read,2702.5155,849479.2911,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,1,profile
write,891.6463,285569.6340,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,2,profile
read,2849.3913,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,2,profile
write,907.0727,290514.5628,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,3,profile
read,2849.3913,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,3,profile
write,907.0727,290514.5628,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,4,profile
read,2849.3913,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,4,profile
write,1624.9907,1631.6678,0.0006,16384.0000,1024.0000,0.0000,0.0098,0.0000,0.0098,1,0,selective
read,9845.7840,9887.8538,0.0001,16384.0000,1024.0000,0.0000,0.0016,0.0000,0.0016,1,0,selective
write,1636.5222,1641.5260,0.0006,16384.0000,1024.0000,0.0000,0.0097,0.0000,0.0098,1,1,selective
read,10625.2160,10665.7444,0.0001,16384.0000,1024.0000,0.0000,0.0015,0.0000,0.0015,1,1,selective
write,1686.7033,1691.7206,0.0006,16384.0000,1024.0000,0.0000,0.0095,0.0000,0.0095,1,2,selective
read,10645.4416,10701.4613,0.0001,16384.0000,1024.0000,0.0000,0.0015,0.0000,0.0015,1,2,selective
write,1690.7829,1695.4818,0.0006,16384.0000,1024.0000,0.0000,0.0094,0.0000,0.0095,1,3,selective
read,11966.6305,12022.3690,0.0001,16384.0000,1024.0000,0.0000,0.0013,0.0000,0.0013,1,3,selective
write,1704.4820,1708.9962,0.0006,16384.0000,1024.0000,0.0000,0.0094,0.0000,0.0094,1,4,selective
read,12443.6981,12490.0175,0.0001,16384.0000,1024.0000,0.0000,0.0013,0.0000,0.0013,1,4,selective
write,466.4484,216480.2065,0.0000,64.0000,4.0000,0.0001,0.0001,0.0000,0.0001,1,0,selective
read,2595.4851,798915.0476,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,0,selective
write,868.0265,280790.2259,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,1,selective
read,2730.6667,798915.0476,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,1,selective
write,894.6894,290514.5628,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,2,selective
read,2849.3913,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,2,selective
write,916.5874,291777.6696,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,3,selective
read,2702.5155,798915.0476,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,3,selective
write,919.8035,290514.5628,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,4,selective
read,2730.6667,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,4,selective
write,1604.9761,1611.1025,0.0006,16384.0000,1024.0000,0.0000,0.0099,0.0000,0.0100,1,0,trace
read,10082.4615,10114.3729,0.0001,16384.0000,1024.0000,0.0000,0.0016,0.0000,0.0016,1,0,trace
write,1651.5040,1656.1502,0.0006,16384.0000,1024.0000,0.0000,0.0097,0.0000,0.0097,1,1,trace
read,10329.2079,10375.5201,0.0001,16384.0000,1024.0000,0.0000,0.0015,0.0000,0.0015,1,1,trace
write,1671.3704,1676.0874,0.0006,16384.0000,1024.0000,0.0000,0.0095,0.0000,0.0096,1,2,trace
read,11347.4576,11395.6298,0.0001,16384.0000,1024.0000,0.0000,0.0014,0.0000,0.0014,1,2,trace
write,1679.7793,1684.0367,0.0006,16384.0000,1024.0000,0.0000,0.0095,0.0000,0.0095,1,3,trace
read,9937.6372,9980.4973,0.0001,16384.0000,1024.0000,0.0000,0.0016,0.0000,0.0016,1,3,trace
write,1648.4614,1653.2127,0.0006,16384.0000,1024.0000,0.0000,0.0097,0.0000,0.0097,1,4,trace
read,9714.6589,9755.6133,0.0001,16384.0000,1024.0000,0.0000,0.0016,0.0000,0.0016,1,4,trace
write,595.7818,222214.7815,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,0,trace
read,2595.4851,798915.0476,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,0,trace
write,868.0265,280790.2259,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,1,trace
read,2730.6667,838860.8000,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,1,trace
write,782.5194,290514.5628,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,2,trace
read,2702.5155,798915.0476,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,2,trace
write,919.8035,296941.8761,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,3,trace
read,2702.5155,798915.0476,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,3,trace
write,907.0727,295633.7621,0.0000,64.0000,4.0000,0.0000,0.0001,0.0000,0.0001,1,4,trace
read,2702.5155,798915.0476,0.0000,64.0000,4.0000,0.0000,0.0000,0.0000,0.0000,1,4,trace
