ticker,volume,open,close,high,low,window_start,transactions
O:SPY230327P00390000,1,11.82,11.82,11.82,11.82,1678715580000000000,1
O:SPY230327P00390000,15,11.07,11.07,11.07,11.07,1678716000000000000,1
O:SPY230327P00390000,1,11.13,11.13,11.13,11.13,1678716780000000000,1
O:SPY230327P00390000,1,11.67,11.67,11.67,11.67,1678717020000000000,1
O:SPY230327P00390000,1,8.9,8.9,8.9,8.9,1678719780000000000,1
O:SPY230327P00390000,5,9.35,9.35,9.35,9.35,1678719960000000000,3
O:SPY230327P00390000,5,8.37,8.37,8.37,8.37,1678720740000000000,1
O:SPY230327P00390000,1,8.96,8.96,8.96,8.96,1678720980000000000,1
O:SPY230327P00390000,1,8.13,8.13,8.13,8.13,1678721340000000000,1
O:SPY230327P00390000,1,8.09,8.09,8.09,8.09,1678721460000000000,1
O:SPY230327P00390000,8,9,9.04,9.04,8.91,1678721700000000000,3
O:SPY230327P00390000,1,8.76,8.76,8.76,8.76,1678722180000000000,1
O:SPY230327P00390000,3,8.68,8.66,8.74,8.66,1678722240000000000,3
O:SPY230327P00390000,3,8.36,8.31,8.36,8.3,1678722540000000000,3
O:SPY230327P00390000,1,8.31,8.31,8.31,8.31,1678722600000000000,1
O:SPY230327P00390000,1,8.98,8.98,8.98,8.98,1678723080000000000,1
O:SPY230327P00390000,10,8.36,8.36,8.36,8.36,1678723620000000000,1
O:SPY230327P00390000,1,8.47,8.47,8.47,8.47,1678724160000000000,1
O:SPY230327P00390000,5,9.4,9.4,9.4,9.4,1678724640000000000,1
O:SPY230327P00390000,4,9.33,9.55,9.55,9.33,1678724700000000000,3
O:SPY230327P00390000,4,9.68,9.7,9.7,9.68,1678724760000000000,2
O:SPY230327P00390000,7,8.77,8.7,8.77,8.7,1678725720000000000,3
O:SPY230327P00390000,1,9.84,9.84,9.84,9.84,1678726440000000000,1
O:SPY230327P00390000,3,10.32,10.32,10.32,10.32,1678726980000000000,1
O:SPY230327P00390000,1,10.44,10.44,10.44,10.44,1678727040000000000,1
O:SPY230327P00390000,3,10.4,10.4,10.4,10.4,1678727280000000000,1
O:SPY230327P00390000,10,10.16,10.16,10.16,10.16,1678728540000000000,1
O:SPY230327P00390000,1,10.35,10.35,10.35,10.35,1678728660000000000,1
O:SPY230327P00390000,2,9.37,9.37,9.37,9.37,1678729260000000000,1
O:SPY230327P00390000,1,9.11,9.11,9.11,9.11,1678729980000000000,1
O:SPY230327P00390000,1,8.49,8.49,8.49,8.49,1678731900000000000,1
O:SPY230327P00390000,3,8.65,8.65,8.65,8.65,1678732200000000000,2
O:SPY230327P00390000,4,8.6,8.51,8.6,8.51,1678732320000000000,2
O:SPY230327P00390000,2,8.49,8.49,8.49,8.49,1678732380000000000,1
O:SPY230327P00390000,1,9,9,9,9,1678733340000000000,1
O:SPY230327P00390000,35,9.05,9.09,9.09,9.05,1678734300000000000,2
O:SPY230327P00390000,35,9.2,9.2,9.2,9.2,1678734480000000000,2
O:SPY230327P00390000,1,10.14,10.14,10.14,10.14,1678735800000000000,1
O:SPY230327P00390000,2,10.15,10.15,10.15,10.15,1678735920000000000,1
O:SPY230327P00390000,6,10.24,9.95,10.24,9.95,1678735980000000000,3
O:SPY230327P00390000,5,10.1,10.1,10.1,10.1,1678736100000000000,1
O:SPY230327P00390000,1,9.97,9.97,9.97,9.97,1678736220000000000,1
O:SPY230327P00390000,2,9.83,9.83,9.83,9.83,1678736340000000000,1
