id,position,name,description,comment
default,0,default,created by the datapackage developers,
pedigree,1,Ciroth_et_al_2016,"Ciroth,A. ,Muller,S. ,Weidema,B. et al. Empirically based uncertainty factors for the pedigree matrix in ecoinvent. Int J Life Cycle Assess 21,1338–1348 (2016)","URL:  https://doi.org/10.1007/s11367-013-0670-5)"
