code,parent_code,level,name
world,,0,World
AFG,world,1,Afghanistan
ALA,world,1,Åland Islands
ALB,world,1,Albania
DZA,world,1,Algeria
ASM,world,1,American Samoa
AND,world,1,Andorra
AGO,world,1,Angola
AIA,world,1,Anguilla
ATA,world,1,Antarctica
ATG,world,1,Antigua and Barbuda
ARG,world,1,Argentina
ARM,world,1,Armenia
ABW,world,1,Aruba
AUS,world,1,Australia
AUT,world,1,Austria
AZE,world,1,Azerbaijan
BHS,world,1,Bahamas
BHR,world,1,Bahrain
BGD,world,1,Bangladesh
BRB,world,1,Barbados
BLR,world,1,Belarus
BEL,world,1,Belgium
BLZ,world,1,Belize
BEN,world,1,Benin
BMU,world,1,Bermuda
BTN,world,1,Bhutan
BOL,world,1,Bolivia
BES,world,1,"Bonaire, Sint Eustatius and Saba"
BIH,world,1,Bosnia and Herzegovina
BWA,world,1,Botswana
BRA,world,1,Brazil
IOT,world,1,British Indian Ocean Territory
BRN,world,1,Brunei Darussalam
BGR,world,1,Bulgaria
BFA,world,1,Burkina Faso
BDI,world,1,Burundi
KHM,world,1,Cambodia
CMR,world,1,Cameroon
CAN,world,1,Canada
CPV,world,1,Cape Verde
CYM,world,1,Cayman Islands
CAF,world,1,Central African Republic
TCD,world,1,Chad
CHL,world,1,Chile
CHN,world,1,China
CXR,world,1,Christmas Island
CCK,world,1,Cocos (Keeling) Islands
COL,world,1,Colombia
COM,world,1,Comoros
COG,world,1,Congo
COD,world,1,"Congo, The Democratic Republic of the"
COK,world,1,Cook Islands
CRI,world,1,Costa Rica
CIV,world,1,Côte d'Ivoire
HRV,world,1,Croatia
CUB,world,1,Cuba
CUW,world,1,Curaçao
CYP,world,1,Cyprus
CZE,world,1,Czech Republic
DNK,world,1,Denmark
DJI,world,1,Djibouti
DMA,world,1,Dominica
DOM,world,1,Dominican Republic
ECU,world,1,Ecuador
EGY,world,1,Egypt
SLV,world,1,El Salvador
GNQ,world,1,Equatorial Guinea
ERI,world,1,Eritrea
EST,world,1,Estonia
SWZ,world,1,Eswatini
ETH,world,1,Ethiopia
FLK,world,1,Falkland Islands (Malvinas)
FRO,world,1,Faroe Islands
FJI,world,1,Fiji
FIN,world,1,Finland
FRA,world,1,France
GUF,world,1,French Guiana
PYF,world,1,French Polynesia
ATF,world,1,French Southern Territories
GAB,world,1,Gabon
GMB,world,1,Gambia
GEO,world,1,Georgia
DEU,world,1,Germany
GHA,world,1,Ghana
GIB,world,1,Gibraltar
GRC,world,1,Greece
GRL,world,1,Greenland
GRD,world,1,Grenada
GLP,world,1,Guadeloupe
GUM,world,1,Guam
GTM,world,1,Guatemala
GGY,world,1,Guernsey
GIN,world,1,Guinea
GNB,world,1,Guinea-Bissau
GUY,world,1,Guyana
HTI,world,1,Haiti
HMD,world,1,Heard Island and McDonald Islands
VAT,world,1,Holy See (Vatican City State)
HND,world,1,Honduras
HKG,world,1,Hong Kong
HUN,world,1,Hungary
ISL,world,1,Iceland
IND,world,1,India
IDN,world,1,Indonesia
XZZ,world,1,Installations in International Waters
IRN,world,1,"Iran, Islamic Republic of"
IRQ,world,1,Iraq
IRL,world,1,Ireland
IMN,world,1,Isle of Man
ISR,world,1,Israel
ITA,world,1,Italy
JAM,world,1,Jamaica
JPN,world,1,Japan
JEY,world,1,Jersey
JOR,world,1,Jordan
KAZ,world,1,Kazakhstan
KEN,world,1,Kenya
KIR,world,1,Kiribati
PRK,world,1,"Korea, Democratic People's Republic of"
KOR,world,1,"Korea, Republic of"
KWT,world,1,Kuwait
KGZ,world,1,Kyrgyzstan
LAO,world,1,Lao People's Democratic Republic
LVA,world,1,Latvia
LBN,world,1,Lebanon
LSO,world,1,Lesotho
LBR,world,1,Liberia
LBY,world,1,Libya
LIE,world,1,Liechtenstein
LTU,world,1,Lithuania
LUX,world,1,Luxembourg
MAC,world,1,Macao
MDG,world,1,Madagascar
MWI,world,1,Malawi
MYS,world,1,Malaysia
MDV,world,1,Maldives
MLI,world,1,Mali
MLT,world,1,Malta
MHL,world,1,Marshall Islands
MTQ,world,1,Martinique
MRT,world,1,Mauritania
MUS,world,1,Mauritius
MYT,world,1,Mayotte
MEX,world,1,Mexico
FSM,world,1,"Micronesia, Federated States of"
MDA,world,1,"Moldova, Republic of"
MCO,world,1,Monaco
MNG,world,1,Mongolia
MNE,world,1,Montenegro
MSR,world,1,Montserrat
MAR,world,1,Morocco
MOZ,world,1,Mozambique
MMR,world,1,Myanmar
NAM,world,1,Namibia
NRU,world,1,Nauru
NPL,world,1,Nepal
NLD,world,1,Netherlands
NCL,world,1,New Caledonia
NZL,world,1,New Zealand
NIC,world,1,Nicaragua
NER,world,1,Niger
NGA,world,1,Nigeria
NIU,world,1,Niue
NFK,world,1,Norfolk Island
MKD,world,1,North Macedonia
MNP,world,1,Northern Mariana Islands
NOR,world,1,Norway
OMN,world,1,Oman
PAK,world,1,Pakistan
PLW,world,1,Palau
PSE,world,1,"Palestine, State of"
PAN,world,1,Panama
PNG,world,1,Papua New Guinea
PRY,world,1,Paraguay
PER,world,1,Peru
PHL,world,1,Philippines
PCN,world,1,Pitcairn
POL,world,1,Poland
PRT,world,1,Portugal
PRI,world,1,Puerto Rico
QAT,world,1,Qatar
