# in MeV^4
mu,pressure,epsilon
339.75,1.49221e6,3.18031e9
340.,3.82883e6,3.18622e9
340.25,6.14412e6,3.20421e9
340.5,8.50176e6,3.21624e9
340.75,1.08655e7,3.22703e9
341.,1.32359e7,3.23608e9
341.25,1.56517e7,3.26939e9
341.5,1.81018e7,3.26876e9
341.75,2.05364e7,3.27475e9
342.,2.29443e7,3.28079e9
342.25,2.5349e7,3.28993e9
342.5,2.77424e7,3.29338e9
342.75,3.01136e7,3.29581e9
343.,3.24657e7,3.29874e9
343.25,3.48341e7,3.33157e9
343.5,3.72606e7,3.34072e9
343.75,3.96976e7,3.35236e9
344.,4.21399e7,3.36213e9
344.25,4.45854e7,3.37123e9
344.5,4.7035e7,3.38313e9
344.75,4.94934e7,3.39291e9
345.,5.19555e7,3.40289e9
345.25,5.44255e7,3.41393e9
345.5,5.69189e7,3.43367e9
345.75,5.94362e7,3.43667e9
346.,6.19255e7,3.44406e9
346.25,6.44157e7,3.45271e9
346.5,6.68829e7,3.45667e9
346.75,6.93584e7,3.4752e9
347.,7.18652e7,3.48395e9
347.25,7.43785e7,3.49521e9
347.5,7.69007e7,3.50727e9
347.75,7.94294e7,3.51644e9
348.,8.19602e7,3.52705e9
348.25,8.4492e7,3.53751e9
348.5,8.70328e7,3.54712e9
348.75,8.95784e7,3.55737e9
349.,9.21302e7,3.56706e9
349.25,9.46877e7,3.57929e9
349.5,9.72526e7,3.5889e9
349.75,9.9825e7,3.59944e9
350.,1.02401e8,3.60861e9
350.25,1.0498e8,3.61851e9
350.5,1.07878e8,3.64776e9
350.75,1.10587e8,3.6512e9
351.,1.13239e8,3.65396e9
351.25,1.15859e8,3.66299e9
351.5,1.18475e8,3.66855e9
351.75,1.21066e8,3.67349e9
352.,1.23613e8,3.67681e9
352.25,1.26122e8,3.68021e9
352.5,1.28599e8,3.68287e9
352.75,1.31142e8,3.72308e9
353.,1.33783e8,3.73247e9
353.25,1.36417e8,3.73868e9
353.5,1.39028e8,3.75309e9
353.75,1.41695e8,3.76413e9
354.,1.44359e8,3.77387e9
354.25,1.47187e8,3.79395e9
354.5,1.49909e8,3.7965e9
354.75,1.52596e8,3.8066e9
355.,1.55274e8,3.81299e9
355.25,1.57906e8,3.81581e9
355.5,1.60492e8,3.81885e9
355.75,1.63138e8,3.84795e9
356.,1.65844e8,3.85827e9
356.25,1.68557e8,3.86909e9
356.5,1.71276e8,3.87907e9
356.75,1.73998e8,3.88865e9
357.,1.76724e8,3.90009e9
357.25,1.79469e8,3.91378e9
357.5,1.82214e8,3.92127e9
357.75,1.84959e8,3.93117e9
358.,1.87694e8,3.94182e9
358.25,1.90447e8,3.95258e9
358.5,1.9321e8,3.96333e9
358.75,1.95977e8,3.97413e9
359.,1.98748e8,3.98478e9
359.25,2.01553e8,4.00129e9
359.5,2.04359e8,4.00506e9
359.75,2.07146e8,4.01656e9
360.,2.09909e8,4.02594e9
360.25,2.12691e8,4.0383e9
360.5,2.15495e8,4.04826e9
360.75,2.18305e8,4.05883e9
361.,2.21134e8,4.07137e9
361.25,2.23959e8,4.0805e9
361.5,2.26785e8,4.09094e9
361.75,2.29602e8,4.10178e9
362.,2.32439e8,4.11309e9
362.25,2.35284e8,4.12414e9
362.5,2.38132e8,4.13435e9
362.75,2.40984e8,4.14479e9
363.,2.43843e8,4.15572e9
363.25,2.46709e8,4.1665e9
363.5,2.4958e8,4.17772e9
363.75,2.52457e8,4.18804e9
364.,2.55338e8,4.19834e9
364.25,2.58223e8,4.21033e9
364.5,2.61115e8,4.22078e9
364.75,2.64027e8,4.23185e9
365.,2.6693e8,4.24242e9
365.25,2.69836e8,4.25253e9
365.5,2.72775e8,4.26528e9
365.75,2.75694e8,4.27494e9
366.,2.78615e8,4.28503e9
366.25,2.81513e8,4.29685e9
366.5,2.84447e8,4.30801e9
366.75,2.8739e8,4.31827e9
367.,2.90337e8,4.3299e9
367.25,2.93293e8,4.34096e9
367.5,2.96251e8,4.352e9
367.75,2.9921e8,4.36312e9
368.,3.02179e8,4.37403e9
368.25,3.05166e8,4.38501e9
368.5,3.08146e8,4.39612e9
368.75,3.11126e8,4.40513e9
369.,3.14323e8,4.42559e9
369.25,3.17384e8,4.42974e9
369.5,3.20388e8,4.44153e9
369.75,3.23344e8,4.44525e9
370.,3.26187e8,4.45035e9
370.25,3.29144e8,4.47489e9
370.5,3.32181e8,4.48954e9
370.75,3.35223e8,4.49712e9
371.,3.38255e8,4.50725e9
371.25,3.41285e8,4.51736e9
371.5,3.4433e8,4.53046e9
371.75,3.4738e8,4.54187e9
372.,3.50429e8,4.55271e9
372.25,3.53492e8,4.56426e9
372.5,3.5656e8,4.57506e9
372.75,3.59636e8,4.58706e9
373.,3.62715e8,4.59791e9
373.25,3.65798e8,4.60928e9
373.5,3.68887e8,4.62003e9
373.75,3.71986e8,4.63359e9
374.,3.7509e8,4.64354e9
374.25,3.78195e8,4.65475e9
374.5,3.81313e8,4.66598e9
374.75,3.84729e8,4.69494e9
375.,3.88243e8,4.69848e9
375.25,3.91487e8,4.70082e9
375.5,3.94637e8,4.71315e9
375.75,3.97727e8,4.71691e9
376.,4.0068e8,4.72065e9
376.25,4.03522e8,4.7248e9
