location,time,value,unit
ARE,2011,3.6725,AED/USD
ARE,2012,3.6725,AED/USD
ARE,2013,3.6725,AED/USD
ARE,2014,3.6725,AED/USD
ARE,2015,3.6725,AED/USD
ARE,2016,3.6725,AED/USD
ARE,2017,3.6725,AED/USD
ARE,2018,3.6725,AED/USD
ARE,2019,3.6725,AED/USD
ARE,2020,3.6725,AED/USD
ARE,2021,3.6725,AED/USD
ARE,2022,3.6725,AED/USD
ARE,2023,3.6725,AED/USD
ARE,2024,3.6725,AED/USD
AFG,2011,46.747008,AFN/USD
AFG,2012,50.9214,AFN/USD
AFG,2013,55.3775,AFN/USD
AFG,2014,57.2475,AFN/USD
AFG,2015,61.143462,AFN/USD
AFG,2016,67.866086,AFN/USD
AFG,2017,68.026904,AFN/USD
AFG,2018,72.083247,AFN/USD
AFG,2019,77.737949,AFN/USD
AFG,2020,76.813536,AFN/USD
ATG,2011,2.7,XCD/USD
ATG,2012,2.7,XCD/USD
ATG,2013,2.7,XCD/USD
ATG,2014,2.7,XCD/USD
ATG,2015,2.7,XCD/USD
ATG,2016,2.7,XCD/USD
ATG,2017,2.7,XCD/USD
ATG,2018,2.7,XCD/USD
ATG,2019,2.7,XCD/USD
ATG,2020,2.7,XCD/USD
ATG,2021,2.7,XCD/USD
ATG,2022,2.7,XCD/USD
ATG,2023,2.7,XCD/USD
ATG,2024,2.7,XCD/USD
AIA,2011,2.7,XCD/USD
AIA,2012,2.7,XCD/USD
AIA,2013,2.7,XCD/USD
AIA,2014,2.7,XCD/USD
AIA,2015,2.7,XCD/USD
AIA,2016,2.7,XCD/USD
AIA,2017,2.7,XCD/USD
AIA,2018,2.7,XCD/USD
AIA,2019,2.7,XCD/USD
AIA,2020,2.7,XCD/USD
AIA,2021,2.7,XCD/USD
AIA,2022,2.7,XCD/USD
AIA,2023,2.7,XCD/USD
AIA,2024,2.7,XCD/USD
ALB,2011,100.895045,ALL/USD
ALB,2012,108.183986,ALL/USD
ALB,2013,105.668673,ALL/USD
ALB,2014,105.479234,ALL/USD
ALB,2015,125.96083,ALL/USD
ALB,2016,124.140872,ALL/USD
ALB,2017,119.099473,ALL/USD
ALB,2018,107.987899,ALL/USD
ALB,2019,109.850824,ALL/USD
ALB,2020,108.649384,ALL/USD
ALB,2021,103.518399,ALL/USD
ALB,2022,113.0434,ALL/USD
ALB,2023,100.597405,ALL/USD
ALB,2024,93.091673,ALL/USD
ARM,2011,372.500882,AMD/USD
ARM,2012,401.763976,AMD/USD
ARM,2013,409.625749,AMD/USD
ARM,2014,415.919789,AMD/USD
