athlete_id,athlete_name,position,team_abbr,points_total,weeks_played,points_per_game
4426515,Puka Nacua,,LAR,109.5,4,27.375
3918298,Josh Allen,,BUF,98.46,4,24.615
3117251,Christian McCaffrey,,SF,96.0,4,24.0
4374302,Amon-Ra St. Brown,,DET,94.4,4,23.6
3916387,Lamar Jackson,,BAL,93.36,4,23.34
4379399,James Cook,,BUF,91.0,4,22.75
4242335,Jonathan Taylor,,IND,89.69999999999999,4,22.424999999999997
3139477,Patrick Mahomes,,KC,88.56,4,22.14
4430807,Bijan Robinson,,ATL,88.4,4,22.1
4431452,Drake Maye,,NE,84.52,4,21.13
4040715,Jalen Hurts,,PHI,84.25999999999999,4,21.064999999999998
4431611,Caleb Williams,,CHI,82.08,4,20.52
4431299,Rome Odunze,,CHI,79.6,4,19.9
4429025,Quentin Johnston,,LAC,79.5,4,19.875
3052587,Baker Mayfield,,TB,79.06,4,19.765
4429795,Jahmyr Gibbs,,DET,79.0,4,19.75
3917792,Daniel Jones,,IND,78.52,4,19.63
4361579,Javonte Williams,,DAL,76.6,4,19.15
4569618,Garrett Wilson,,NYJ,76.1,4,19.025
4429160,De'Von Achane,,MIA,75.89999999999999,4,18.974999999999998
4426354,George Pickens,,DAL,75.0,4,18.75
4036378,Jordan Love,,GB,74.2,4,18.55
4047365,Josh Jacobs,,GB,72.5,4,18.125
12483,Matthew Stafford,,LAR,72.16,4,18.04
4596448,Bucky Irving,,TB,72.0,4,18.0
4038941,Justin Herbert,,LAC,71.82,4,17.955
4430878,Jaxon Smith-Njigba,,SEA,71.3,4,17.825
4567750,Emeka Egbuka,,TB,71.1,4,17.775
2577417,Dak Prescott,,DAL,70.96,4,17.74
3046779,Jared Goff,,DET,70.25999999999999,4,17.564999999999998
4239996,Travis Etienne Jr.,,JAX,66.6,4,16.65
4426338,Bo Nix,,DEN,66.24000000000001,4,16.560000000000002
15818,Keenan Allen,,LAC,65.1,4,16.275
3126486,Deebo Samuel,,WSH,65.0,4,16.25
4685382,Omarion Hampton,,LAC,64.0,4,16.0
4428718,Tre Tucker,,LV,63.4,4,15.85
3929630,Saquon Barkley,,PHI,62.7,4,15.675
3128429,Courtland Sutton,,DEN,62.60000000000001,4,15.650000000000002
3917315,Kyler Murray,,ARI,62.480000000000004,4,15.620000000000001
4035687,Michael Pittman Jr.,,IND,62.4,4,15.6
4242355,Jake Ferguson,,DAL,62.3,4,15.575
16800,Davante Adams,,LAR,61.900000000000006,4,15.475000000000001
4262921,Justin Jefferson,,MIN,61.0,4,15.25
4429615,Zay Flowers,,BAL,60.7,4,15.175
4890973,Ashton Jeanty,,LV,59.2,4,14.8
4047650,DK Metcalf,,PIT,59.1,4,14.775
4426339,Spencer Rattler,,NO,58.8,4,14.7
4362887,Justin Fields,,NYJ,58.64,3,19.546666666666667
8439,Aaron Rodgers,,PIT,58.53999999999999,4,14.634999999999998
4362628,Ja'Marr Chase,,CIN,57.300000000000004,4,14.325000000000001
4241985,J.K. Dobbins,,DEN,57.1,4,14.275
4595348,Malik Nabers,,NYG,57.1,4,14.275
4241416,Chuba Hubbard,,CAR,56.1,4,14.025
4361432,Romeo Doubs,,GB,54.900000000000006,4,13.725000000000001
4426502,Drake London,,ATL,54.9,4,13.725
15864,Geno Smith,,LV,54.52,4,13.63
4567048,Kenneth Walker III,,SEA,54.2,4,13.55
3912547,Sam Darnold,,SEA,54.0,4,13.5
4258173,Nico Collins,,HOU,54.0,4,13.5
3116406,Tyreek Hill,,MIA,53.5,4,13.375
4430737,Kyren Williams,,LAR,53.5,4,13.375
3046439,Hunter Henry,,NE,53.4,4,13.35
4361307,Trey McBride,,ARI,53.4,4,13.35
4371733,Kenneth Gainwell,,PIT,52.9,4,13.225
4432577,C.J. Stroud,,HOU,52.480000000000004,4,13.120000000000001
4428209,Ricky Pearsall,,SF,52.3,4,13.075
4035538,David Montgomery,,DET,52.00000000000001,4,13.000000000000002
4696981,Cam Skattebo,,NYG,51.900000000000006,4,12.975000000000001
4431459,Tyler Warren,,IND,51.9,4,12.975
4360423,Michael Penix Jr.,,ATL,51.82,4,12.955
4685720,Bryce Young,,CAR,51.42,4,12.855
4572680,Tucker Kraft,,GB,50.8,4,12.7
4241479,Tua Tagovailoa,,MIA,50.379999999999995,4,12.594999999999999
4259545,D'Andre Swift,,CHI,50.2,4,12.55
3043078,Derrick Henry,,BAL,50.0,4,12.5
4385690,Dalton Kincaid,,BUF,49.900000000000006,4,12.475000000000001
4360310,Trevor Lawrence,,JAX,49.0,4,12.25
4241372,Hollywood Brown,,KC,48.9,4,12.225
4432708,Marvin Harrison Jr.,,ARI,48.800000000000004,4,12.200000000000001
4361370,Chris Olave,,NO,48.5,4,12.125
3929645,Juwan Johnson,,NO,48.4,4,12.1
4685702,Quinshon Judkins,,CLE,48.1,3,16.033333333333335
4360569,Jordan Mason,,MIN,48.1,4,12.025
4569587,Wan'Dale Robinson,,NYG,47.7,4,11.925
4427366,Breece Hall,,NYJ,47.6,4,11.9
3054850,Alvin Kamara,,NO,47.5,4,11.875
4372016,Jaylen Waddle,,MIA,47.5,4,11.875
4373678,Khalil Shakir,,BUF,47.0,4,11.75
14881,Russell Wilson,,NYG,46.84,4,11.71
3916433,Jakobi Meyers,,LV,46.8,4,11.7
4360248,Kyle Pitts Sr.,,ATL,46.5,4,11.625
4362921,Tyquan Thornton,,KC,46.2,4,11.55
4685472,Tetairoa McMillan,,CAR,45.8,4,11.45
4431280,Troy Franklin,,DEN,44.7,4,11.175
4569987,Jaylen Warren,,PIT,44.4,3,14.799999999999999
4635008,Keon Coleman,,BUF,43.3,4,10.825
4032473,Rashid Shaheed,,NO,41.9,4,10.475
3916148,Tony Pollard,,TEN,41.6,4,10.4
4038441,Justice Hill,,BAL,41.6,4,10.4
4432665,Brock Bowers,,LV,41.5,4,10.375
3121023,Dallas Goedert,,PHI,41.4,3,13.799999999999999
15835,Zach Ertz,,WSH,40.9,4,10.225
2976212,Stefon Diggs,,NE,40.3,4,10.075
3116365,Mark Andrews,,BAL,40.0,4,10.0
15847,Travis Kelce,,KC,39.2,4,9.8
4883647,Elic Ayomanor,,TEN,39.1,4,9.775
