activitytype_from,flowobject_from,activitytype_to,flowobject_to,classification_from,classification_to,comment,skos_uri
ai_051_1,fi_11010_1,INDPROD,ANTCOAL,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_051_2,fi_11010_3,INDPROD,COKCOAL,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_051_3,fi_11010_2,INDPROD,BITCOAL,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_052_2,fi_11030_2,INDPROD,SUBCOAL,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_052_1,fi_11030_1,INDPROD,LIGNITE,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_051_4,fi_11020,INDPROD,PATFUEL,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1910,fi_33100,INDPROD,OVENCOKE,bonsai_v2_0,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_1910_4,fi_33429_2,INDPROD,GASCOKE,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_0610_2,fi_33200,INDPROD,COALTAR,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_3,fi_11040,INDPROD,BKB,bonsai_v2_0,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_3520_2,fi_17200_3,INDPROD,GASWKSGS,bonsai_v2_0,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_1910_3,fi_33429_1,INDPROD,COKEOVGS,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_2410_1,fi_17200_1,INDPROD,BLFURGS,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_2410_2,fi_17200_2,INDPROD,OGASES,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_0892,fi_11050,INDPROD,PEAT,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_3,fi_11040,INDPROD,PEATPROD,bonsai_v2_0,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_0610_1,fi_1201,INDPROD,OILSHALE,bonsai_v2_0,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_0620,fi_2711_21,INDPROD,NATGAS,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_0610_1,fi_1201,INDPROD,CRUDEOIL,bonsai_v2_0,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_1920_6,fi_2711_11,INDPROD,NGL,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_22,fi_33370_1,INDPROD,REFFEEDS,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_2029_01,fi_35430,INDPROD,ADDITIVE,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_2011_07_01,fi_17200_5,INDPROD,NONCRUDE,bonsai_v2_0,iea_energy_balance,one-to-many correspondence,http://www.w3.org/2004/02/skos/core#narrowMatch
ai_1920_16,fi_33429_4,INDPROD,REFINGAS,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_17,fi_33429_5,INDPROD,ETHANE,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_4,fi_33429_3,INDPROD,LPG,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_10,fi_3331_1,INDPROD,NONBIOGASO,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_11,fi_3331_2,INDPROD,AVGAS,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_8,fi_33320,INDPROD,JETGAS,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_9,fi_3334_1,INDPROD,NONBIOJETK,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_21,fi_3334_2,INDPROD,OTHKERO,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_14,fi_33360,INDPROD,NONBIODIES,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_15,fi_33370_2,INDPROD,RESFUEL,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_12,fi_33330,INDPROD,NAPHTHA,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
ai_1920_13,fi_33350,INDPROD,WHITESP,bonsai_v2_0,iea_energy_balance,one-to-one correspondence,http://www.w3.org/2004/02/skos/core#exactMatch
