code,name
Bolivia (Plurinational State of),Bolivia (Plurinational State of)
Czechia,Czechia
Denmark,Denmark
Germany,Germany
Greece,Greece
Ireland,Ireland
Mexico,Mexico
Portugal,Portugal
Republic of Korea,Republic of Korea
Romania,Romania
United Kingdom,United Kingdom
Slovenia,Slovenia
Sweden,Sweden
Zimbabwe,Zimbabwe
Finland,Finland
Japan,Japan
Lithuania,Lithuania
Uruguay,Uruguay
Bulgaria,Bulgaria
France,France
Kazakhstan,Kazakhstan
Latvia,Latvia
Poland,Poland
Azerbaijan,Azerbaijan
Brazil,Brazil
Croatia,Croatia
Indonesia,Indonesia
Kyrgyzstan,Kyrgyzstan
The former Yugoslav Republic of Macedonia,The former Yugoslav Republic of Macedonia
Cyprus,Cyprus
Hungary,Hungary
India,India
Norway,Norway
Egypt,Egypt
Italy,Italy
Ukraine,Ukraine
"China, Macao Special Administrative Region","China, Macao Special Administrative Region"
Ecuador,Ecuador
Estonia,Estonia
Jordan,Jordan
Republic of Moldova,Republic of Moldova
Spain,Spain
Serbia,Serbia
Turkey,Turkey
Chile,Chile
Iraq,Iraq
Netherlands,Netherlands
Bosnia and Herzegovina,Bosnia and Herzegovina
Lesotho,Lesotho
Saudi Arabia,Saudi Arabia
Uzbekistan,Uzbekistan
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
American Samoa,American Samoa
Andorra,Andorra
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belgium-Luxembourg,Belgium-Luxembourg
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Botswana,Botswana
British Virgin Islands,British Virgin Islands
Brunei Darussalam,Brunei Darussalam
Burkina Faso,Burkina Faso
Burundi,Burundi
Cabo Verde,Cabo Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cayman Islands,Cayman Islands
Central African Republic,Central African Republic
Chad,Chad
China,China
"China, Hong Kong Special Administrative Region","China, Hong Kong Special Administrative Region"
Colombia,Colombia
Comoros,Comoros
Congo,Congo
Cook Islands,Cook Islands
Costa Rica,Costa Rica
Cuba,Cuba
Côte d'Ivoire,Côte d'Ivoire
Democratic People's Republic of Korea,Democratic People's Republic of Korea
Democratic Republic of the Congo,Democratic Republic of the Congo
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Eswatini,Eswatini
Ethiopia,Ethiopia
Faeroe Islands,Faeroe Islands
Falkland Islands (Malvinas),Falkland Islands (Malvinas)
Fiji,Fiji
France incl. Monaco,France incl. Monaco
French Guiana,French Guiana
French Polynesia,French Polynesia
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Ghana,Ghana
Gibraltar,Gibraltar
Greenland,Greenland
Grenada,Grenada
Guadeloupe,Guadeloupe
Guam,Guam
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Iceland,Iceland
Iran (Islamic Republic of),Iran (Islamic Republic of)
Israel,Israel
Italy and San Marino,Italy and San Marino
Jamaica,Jamaica
Kenya,Kenya
Kiribati,Kiribati
Kuwait,Kuwait
Lao People's Democratic Republic,Lao People's Democratic Republic
Lebanon,Lebanon
Liberia,Liberia
Libya,Libya
Liechtenstein,Liechtenstein
Luxembourg,Luxembourg
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Marshall Islands
Martinique,Martinique
Mauritania,Mauritania
Mauritius,Mauritius
Micronesia (Federated States of),Micronesia (Federated States of)
Mongolia,Mongolia
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nauru,Nauru
Nepal,Nepal
Netherlands Antilles,Netherlands Antilles
New Caledonia,New Caledonia
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
Niue,Niue
Norway including Svalbard and Jan Mayen Islands,Norway including Svalbard and Jan Mayen Islands
Oman,Oman
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Puerto Rico,Puerto Rico
Qatar,Qatar
Russian Federation,Russian Federation
Rwanda,Rwanda
Réunion,Réunion
Saint Helena,Saint Helena
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Pierre and Miquelon,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Samoa,Samoa
Sao Tome and Principe,Sao Tome and Principe
Senegal,Senegal
Serbia and Montenegro,Serbia and Montenegro
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovakia,Slovakia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
Sri Lanka,Sri Lanka
State of Palestine,State of Palestine
Sudan (former),Sudan (former)
Suriname,Suriname
Switzerland,Switzerland
Switzerland and Liechtenstein,Switzerland and Liechtenstein
Syrian Arab Republic,Syrian Arab Republic
Tajikistan,Tajikistan
